,Ар1.0,Ар1.1,Ар1.2,Ар2.0,Ар2.1,Ар2.2,Ар3.0,Ар3.1,Ар3.2,Ар4.0,Ар4.1,Ар4.2,Ар5.0,Ар5.1,Ар5.2,Ариск0,БК,Кф,Кинс,Крд,КРФмп0,КРФрп0,КРФсп0,КРФмп1,КРФрп1,КРФсп1,КРФмп2,КРФрп2,КРФсп2,Крис,Кскр,Лам,Лат,ОД,Овм,Овт,ПК0,ПК1,ПК2,РР0,РР1,РР2,ПР0,ПР1,ОПР1,СПР1,ФР1,ОФР1,СФР1,ОПР0,ПР2,ОПР2,СПР2,ФР2,ОФР2,СФР2,СПР0,ФР0,ОФР0,ТР,ОТР,ДТР,ГВР(ТР),ГВР(ВР),ГВР(ПР),ГВР(ФР),СФР0,ВР,Ф,Кбр,Кр,Кз,Лат1,О,ВО,Лат1.1
1,175401833.0,175401833.0,175401833.0,52209202.0,52209202.0,52209202.0,111388.0,111388.0,111388.0,782051564.0,771849243.0,771849243.0,1187.0,1187.0,1187.0,175401833.0,20626178.0,1.0,7200101.0,473563570.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320146.0,331985311.0,245813110.0,553511367.0,121961546.0,388662699.0,668551292.0,48646899.0,48646899.0,48646899.0,77594745.0,77594745.0,77594745.0,5120498.89,5120498.89,5120498.89,0.0,0.0,0.0,0.0,5120498.89,5120498.89,5120498.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1087080.71,,,,,,,,
1000,1495005155.0,1495005155.0,1495005155.0,100925080.0,100925080.0,100925080.0,22816812.0,22816812.0,22816812.0,9346356158.0,9364957653.0,9355257653.0,4505253.0,4505253.0,4505253.0,1777806430.0,493898028.0,1.0,254967187.0,7486221039.0,0.0,0.0,62854704.0,0.0,0.0,62854704.0,0.0,0.0,62854704.0,4994545.0,3842148773.0,1210523252.0,2126909664.0,1099624549.0,3532076056.0,5461282156.0,1215738765.0,1215773367.0,1215772380.0,774754749.0,774754749.0,774754749.0,38174151.24,38174151.24,24347805.72,13826345.52,4547949.03,2273961.06,2273961.06,24347805.72,38174151.24,24347805.72,13826345.52,4547949.03,2273961.06,2273961.06,13826345.52,4547949.03,2273961.06,9200235.41,2594620.3,6602508.35,3106.76,85719.69,0.0,26.91,2273961.06,10058044.27,,,,,,,,
101,7237077.0,7237077.0,7237077.0,148712.0,148712.0,148712.0,57391.0,57391.0,57391.0,6409217.0,6409217.0,6409217.0,0.0,0.0,0.0,7247013.0,330488.0,0.97,8.0,2055953.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24042.0,14931375.0,38859868.0,54951375.0,1080178.0,41211611.0,43287885.0,2060940.0,2060940.0,2060940.0,3605750.0,3605750.0,3605750.0,287260.0,287260.0,46909.0,240351.0,1200.0,600.0,600.0,46909.0,287260.0,46909.0,240351.0,1200.0,600.0,600.0,240351.0,1200.0,600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,600.0,0.0,,,,,,,,
1016,316680.0,,316680.0,3044.0,,3044.0,6817.0,,6817.0,196684.0,,188236.0,,,,316680.0,,1.0,,,,,,,,,,,,,,329760.0,417222.0,,,123399.0,178763.0,,178763.0,197586.0,,197586.0,9588.34,9588.34,2740.12,6848.22,3952.32,1976.16,1976.16,2740.12,9588.34,2740.12,6848.22,3952.32,1976.16,1976.16,6848.22,3952.32,1976.16,,,,,,,,1976.16,2266.18,,,,,,,,
1027,694510.0,694510.0,694510.0,9690.0,9690.0,9690.0,,,,650285.0,426263.0,426263.0,,,,1362896.0,,1.02,,286374.0,,,,,,,,,,16437.0,,940024.0,1200501.0,,671448.0,773496.0,139229.0,139229.0,139229.0,73088.0,73088.0,73088.0,4963.0,4963.0,4963.0,0.0,884.0,442.0,442.0,4963.0,4963.0,4963.0,0.0,884.0,442.0,442.0,0.0,884.0,442.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,442.0,0.0,,,,,,,,
1046,209173.0,,209173.0,5002.0,,5002.0,,,,203569.0,,203304.0,,,,209173.0,,1.0,,,,,,,,,,,,,,,241294.0,,,167510.0,131822.0,,131822.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
1049,2078899.0,2078899.0,2078899.0,129759.0,129759.0,129759.0,1604.0,1604.0,1604.0,4787007.0,4677675.0,4677675.0,,,,2078899.0,44455.0,0.99,,2759672.0,,,,,,,,,,28362.0,1365661.0,1230415.0,2723862.0,2321712.0,2397033.0,2772578.0,292688.0,292688.0,292688.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37,0.31,0.06,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
1050,491049.0,,491049.0,,,,,,,1285568.0,,1271010.0,,,,491049.0,,1.0,,,,,,,,,,,,,,488256.0,504930.0,,,594715.0,467066.0,,467066.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
1052,1548561.0,,1548561.0,2668.0,,2668.0,0.0,,0.0,620673.0,,620673.0,0.0,,0.0,1548561.0,0.0,1.0,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,859564.0,1767919.0,,,1803470.0,81776.0,,81776.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
106,243917.0,,243917.0,201711.0,,201711.0,0.0,,0.0,860150.0,,838984.0,0.0,,0.0,243917.0,1348.0,1.02,,,,,,,,,,,,,,1195183.0,1453486.0,,,1403229.0,33197.0,,33197.0,43650.0,,43650.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,3492.0,,,,,,,,
