REGN;C1_2;C2_2
1;Ариск0;155280253,00
1;АРБ0;60139566,00
1;АРС0;1583220,00
1;АРЦК0;1406508,00
1;АРпр0;24687814,00
1;АРБ1;60139566,00
1;АРС1;1583220,00
1;АРЦК1;1406508,00
1;АРпр1;13967576,00
1;АРБ2;60139566,00
1;АРС2;1583220,00
1;АРЦК2;1406508,00
1;АРпр2;13967576,00
1;АРФЛ;178946302,00
1;АРкорп;535520140,00
1;АРМБР;255078,00
1;АРМСП;0,00
1;БК2.0;24119796,00
1;БК2.1;24119796,00
1;БК2.2;24119796,00
1;Метод;2,00
1;ПК2.0;33268418,00
1;ПК2.1;33268418,00
1;ПК2.2;33268418,00
1;Кф;1,00
1;Кинс;7200101,00
1;Крд;503956413,00
1;КРФмп0;0,00
1;КРФрп0;0,00
1;КРФсп0;0,00
1;КРФмп1;0,00
1;КРФрп1;0,00
1;КРФсп1;0,00
1;КРФмп2;0,00
1;КРФрп2;0,00
1;КРФсп2;0,00
1;Кскр;317135644,00
1;Лам;428476952,00
1;Лат;714921029,00
1;ОД;119491947,00
1;Овм;420953346,00
1;Овт;809422314,00
1;РР0;95037588,00
1;РР1;95037588,00
1;РР2;95037588,00
1;ПР0;6642484,68
1;ПР1;6642484,68
1;ОПР1;6612512,83
1;СПР1;29971,85
1;ФР1;0,00
1;ОФР1;0,00
1;СФР1;0,00
1;ОПР0;6612512,83
1;ПР2;6642484,68
1;ОПР2;6612512,83
1;СПР2;29971,85
1;ФР2;0,00
1;ОФР2;0,00
1;СФР2;0,00
1;СПР0;29971,85
1;ФР0;0,00
1;ОФР0;0,00
1;ТР;0,00
1;ОТР;0,00
1;ДТР;0,00
1;ГВР(ТР);0,00
1;ГВР(ВР);0,00
1;ГВР(ПР);0,00
1;ГВР(ФР);0,00
1;СФР0;0,00
1;ВР;960522,39
2;Ар1.0;440035,00
2;Ар1.2;440035,00
2;Ар2.0;200,00
2;Ар2.2;200,00
2;Ар4.0;340230,00
2;Ар4.2;319994,00
2;Ариск0;440035,00
2;БК;110645,00
2;Метод;1,00
2;Кф;1,00
2;Лам;98489,00
2;Лат;752610,00
2;Овт;593635,00
2;ПК0;781173,00
2;ПК2;781173,00
2;РР0;13738,00
2;РР2;13738,00
2;ПР0;0,00
2;ПР1;0,00
2;ОПР1;0,00
2;СПР1;0,00
2;ФР1;0,00
2;ОФР1;0,00
2;СФР1;0,00
2;ОПР0;0,00
2;ПР2;0,00
2;ОПР2;0,00
2;СПР2;0,00
2;ФР2;0,00
2;ОФР2;0,00
2;СФР2;0,00
2;СПР0;0,00
2;ФР0;0,00
2;ОФР0;0,00
2;ТР;0,00
2;ОТР;0,00
2;ДТР;0,00
2;ГВР(ТР);0,00
2;ГВР(ВР);0,00
2;ГВР(ПР);0,00
2;ГВР(ФР);0,00
2;СФР0;0,00
2;ВР;1099,03
21;Ар1.0;440759,00
21;Ар1.2;440759,00
21;Ар2.0;9183,00
21;Ар2.2;9183,00
21;Ар4.0;877176,00
21;Ар4.2;877176,00
21;Ариск0;440759,00
21;Метод;1,00
21;Кф;0,92
21;Лам;191455,00
21;Лат;539608,00
21;Овт;726207,00
21;ПК0;270465,00
21;ПК2;270465,00
21;РР0;26036,00
21;РР2;26036,00
21;ПР0;0,00
21;ПР1;0,00
21;ОПР1;0,00
21;СПР1;0,00
21;ФР1;0,00
21;ОФР1;0,00
21;СФР1;0,00
21;ОПР0;0,00
21;ПР2;0,00
21;ОПР2;0,00
21;СПР2;0,00
21;ФР2;0,00
21;ОФР2;0,00
21;СФР2;0,00
21;СПР0;0,00
21;ФР0;0,00
21;ОФР0;0,00
21;ТР;0,00
21;ОТР;0,00
21;ДТР;0,00
21;ГВР(ТР);0,00
21;ГВР(ВР);0,00
21;ГВР(ПР);0,00
21;ГВР(ФР);0,00
21;СФР0;0,00
21;ВР;2082,85
52;Ар1.0;572909,00
52;Ар1.1;572909,00
52;Ар1.2;572909,00
52;Ар2.0;7923,00
52;Ар2.1;7923,00
52;Ар2.2;7923,00
52;Ар4.0;10094618,00
52;Ар4.1;10094494,00
52;Ар4.2;10094494,00
52;Ариск0;572909,00
52;Метод;1,00
52;Кф;0,97
52;Крд;24308,00
52;Кскр;9245645,00
52;Лам;628245,00
52;Лат;1828395,00
52;ОД;484048,00
52;Овм;2043732,00
52;Овт;2489520,00
52;ПК0;463918,00
52;ПК1;463918,00
52;ПК2;463918,00
52;ПР0;0,00
52;ПР1;0,00
52;ОПР1;0,00
52;СПР1;0,00
52;ФР1;0,00
52;ОФР1;0,00
52;СФР1;0,00
52;ОПР0;0,00
52;ПР2;0,00
52;ОПР2;0,00
52;СПР2;0,00
52;ФР2;0,00
52;ОФР2;0,00
52;СФР2;0,00
52;СПР0;0,00
52;ФР0;0,00
52;ОФР0;0,00
52;ТР;0,00
52;ОТР;0,00
52;ДТР;0,00
52;ГВР(ТР);0,00
52;ГВР(ВР);0,00
52;ГВР(ПР);0,00
52;ГВР(ФР);0,00
52;СФР0;0,00
52;ВР;0,00
53;Ар1.0;4057893,00
53;Ар1.1;4057893,00
53;Ар1.2;4057893,00
53;Ар2.0;89628,00
53;Ар2.1;89628,00
53;Ар2.2;89628,00
53;Ар4.0;9819879,00
53;Ар4.1;9423858,00
53;Ар4.2;9423858,00
53;Ариск0;4057893,00
53;БК;135665,00
53;Метод;1,00
53;Кф;1,00
53;Крд;1914036,00
53;Кскр;10054656,00
53;Лам;2762308,00
53;Лат;5784696,00
53;ОД;706772,00
53;Овм;4842702,00
53;Овт;6505259,00
53;ПК0;1164156,00
53;ПК1;1164156,00
53;ПК2;1164156,00
53;РР0;2408393,00
53;РР1;2408393,00
53;РР2;2408393,00
53;ПР0;170568,99
53;ПР1;170568,99
53;ОПР1;33559,08
53;СПР1;137009,91
53;ФР1;12215,10
53;ОФР1;6107,55
53;СФР1;6107,55
53;ОПР0;33559,08
53;ПР2;170568,99
53;ОПР2;33559,08
53;СПР2;137009,91
53;ФР2;12215,10
53;ОФР2;6107,55
53;СФР2;6107,55
53;СПР0;137009,91
53;ФР0;12215,10
53;ОФР0;6107,55
53;СФР0;6107,55
53;ВР;9887,37
65;Ар1.0;7788638,00
