,Ар1.0,Ар1.1,Ар1.2,Ар2.0,Ар2.1,Ар2.2,Ар3.0,Ар3.1,Ар3.2,Ар4.0,Ар4.1,Ар4.2,Ар5.0,Ар5.1,Ар5.2,Ариск0,БК,Кф,Кинс,Крд,КРФмп0,КРФрп0,КРФсп0,КРФмп1,КРФрп1,КРФсп1,КРФмп2,КРФрп2,КРФсп2,Крис,Кскр,Лам,Лат,ОД,Овм,Овт,ПК0,ПК1,ПК2,РР0,РР1,РР2,ПР0,ПР1,ОПР1,СПР1,ФР1,ОФР1,СФР1,ОПР0,ПР2,ОПР2,СПР2,ФР2,ОФР2,СФР2,СПР0,ФР0,ОФР0,ТР,ОТР,ДТР,ГВР(ТР),ГВР(ВР),ГВР(ПР),ГВР(ФР),СФР0,ВР,Ф,Кбр,Кр,Кз,Лат1,О,ВО,Лат1.1
1,128465905.0,128465905.0,128465905.0,30467502.0,30467502.0,30467502.0,197010.0,197010.0,197010.0,802100547.0,793113526.0,793113526.0,1302.0,1302.0,1302.0,128465905.0,19660550.0,1.0,7200101.0,443400932.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,328003.0,386733474.0,239317720.0,416769860.0,145309188.0,358624070.0,538526787.0,48258035.0,48258035.0,48258035.0,73085828.0,73085828.0,73085828.0,4574673.91,4574673.91,4548422.38,26251.53,0.0,0.0,0.0,4548422.38,4574673.91,4548422.38,26251.53,0.0,0.0,0.0,26251.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1272192.33,,,,,,,,
1000,1368280982.0,1368280982.0,1368280982.0,105422778.0,105422778.0,105422778.0,3808840.0,3808840.0,3808840.0,8499028590.0,8539547258.0,8539247258.0,4248533.0,4248533.0,4248533.0,1631559301.0,291288268.0,1.0,244050783.0,6947685660.0,0.0,0.0,63939799.0,0.0,0.0,63939799.0,0.0,0.0,63939799.0,4854661.0,3634222011.0,1048321140.0,1865902296.0,1255674007.0,2978286142.0,5116628519.0,1385509157.0,1385543759.0,1385509157.0,550688447.0,550688447.0,550688447.0,24934871.31,24934871.31,17708053.5,7226817.81,4669352.62,2334676.31,2334676.31,17708053.5,24934871.31,17708053.5,7226817.81,4669352.62,2334676.31,2334676.31,7226817.81,4669352.62,2334676.31,8530790.41,3321776.52,5209013.89,0.0,119050.35,0.0,0.0,2334676.31,5920061.43,,,,,,,,
101,7912846.0,7912846.0,7912846.0,173612.0,173612.0,173612.0,0.0,0.0,0.0,3923866.0,3923866.0,3923866.0,0.0,0.0,0.0,14208511.0,487258.0,0.94,0.0,1666754.0,,,,,,,,,,53926.0,9887229.0,30835344.0,37652590.0,590750.0,32360668.0,35472420.0,1577668.0,1577668.0,1577668.0,15337988.0,15337988.0,15337988.0,1225893.0,1225893.0,391934.0,833959.0,1146.0,573.0,573.0,391934.0,1225893.0,391934.0,833959.0,1146.0,573.0,573.0,833959.0,1146.0,573.0,,,,,,,,573.0,0.0,,,,,,,,
1016,424587.0,,424587.0,2882.0,,2882.0,6441.0,,6441.0,235252.0,,226832.0,,,,424587.0,,1.0,,,,,,,,,,,,,,436519.0,531434.0,,,172354.0,182081.0,,182081.0,218460.0,,218460.0,10511.11,10511.11,2771.33,7739.78,5515.2,2757.6,2757.6,2771.33,10511.11,2771.33,7739.78,5515.2,2757.6,2757.6,7739.78,5515.2,2757.6,,,,,,,,2757.6,1450.51,,,,,,,,
1027,671637.0,671637.0,671637.0,26224.0,26224.0,26224.0,,,,585485.0,367094.0,367094.0,,,,1360872.0,,1.02,,241633.0,,,,,,,,,,15196.0,14239.0,890856.0,1186467.0,,664701.0,774627.0,120846.0,120846.0,120846.0,82875.0,82875.0,82875.0,5972.0,5972.0,5972.0,0.0,658.0,329.0,329.0,5972.0,5972.0,5972.0,0.0,658.0,329.0,329.0,0.0,658.0,329.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,329.0,0.0,,,,,,,,
1046,216102.0,,216102.0,30000.0,,30000.0,,,,125410.0,,125145.0,,,,216102.0,,1.0,,,,,,,,,,,,,,,370476.0,,,240803.0,183761.0,,183761.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
1049,2405823.0,2405823.0,2405823.0,142729.0,142729.0,142729.0,,,,4628940.0,4407156.0,4407156.0,,,,2405823.0,,0.99,,2378556.0,,,,,,,,,,26066.0,1245907.0,1177475.0,3185612.0,1613124.0,2442483.0,3002388.0,240116.0,240116.0,240116.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34,0.28,0.06,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
1050,428520.0,,428520.0,,,,,,,1171599.0,,1157041.0,,,,428520.0,,1.0,,,,,,,,,,,,,,426088.0,472015.0,,,306807.0,362088.0,,362088.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
1052,310067.0,,310067.0,4436.0,,4436.0,0.0,,0.0,544870.0,,544870.0,0.0,,0.0,310067.0,0.0,1.0,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,291454.0,443842.0,,,533472.0,88444.0,,88444.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
106,1311582.0,,1311582.0,142921.0,,142921.0,,,,959918.0,,938752.0,,,,1311582.0,3393.0,0.99,,,,,,,,,,,,,,2323616.0,2815457.0,,,2302269.0,33290.0,,33290.0,20163.0,,20163.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,1613.0,,,,,,,,
