REGN;C1_2;C2_2
1;Ариск0;153605228,00
1;АРБ0;28774174,00
1;АРС0;1573557,00
1;АРЦК0;1419221,00
1;АРпр0;34401193,00
1;АРБ1;28774174,00
1;АРС1;1573557,00
1;АРЦК1;1419221,00
1;АРпр1;23699663,00
1;АРБ2;28774174,00
1;АРС2;1573557,00
1;АРЦК2;1419221,00
1;АРпр2;23699663,00
1;АРФЛ;155260092,00
1;АРкорп;456774160,00
1;АРМБР;251188,00
1;АРМСП;0,00
1;БК2.0;34516898,00
1;БК2.1;34516898,00
1;БК2.2;34516898,00
1;Метод;2,00
1;ПК2.0;6564744,00
1;ПК2.1;6564744,00
1;ПК2.2;6564744,00
1;Кф;1,00
1;Кинс;7200101,00
1;Крд;426856697,00
1;КРФмп0;0,00
1;КРФрп0;0,00
1;КРФсп0;0,00
1;КРФмп1;0,00
1;КРФрп1;0,00
1;КРФсп1;0,00
1;КРФмп2;0,00
1;КРФрп2;0,00
1;КРФсп2;0,00
1;Кскр;261300498,00
1;Лам;362507422,00
1;Лат;669759212,00
1;ОД;91860837,00
1;Овм;423610307,00
1;Овт;671865740,00
1;РР0;82027297,00
1;РР1;82027297,00
1;РР2;82027297,00
1;ПР0;5394781,34
1;ПР1;5394781,34
1;ОПР1;5394781,34
1;СПР1;0,00
1;ФР1;0,00
1;ОФР1;0,00
1;СФР1;0,00
1;ОПР0;5394781,34
1;ПР2;5394781,34
1;ОПР2;5394781,34
1;СПР2;0,00
1;ФР2;0,00
1;ОФР2;0,00
1;СФР2;0,00
1;СПР0;0,00
1;ФР0;0,00
1;ОФР0;0,00
1;ТР;0,00
1;ОТР;0,00
1;ДТР;0,00
1;ГВР(ТР);0,00
1;ГВР(ВР);0,00
1;ГВР(ПР);0,00
1;ГВР(ФР);0,00
1;СФР0;0,00
1;ВР;1167402,41
2;Ар1.0;774512,00
2;Ар1.2;774512,00
2;Ар2.0;133,00
2;Ар2.2;133,00
2;Ар4.0;417868,00
2;Ар4.2;397632,00
2;Ариск0;774512,00
2;БК;124435,00
2;Метод;1,00
2;Кф;1,00
2;Лам;173632,00
2;Лат;846923,00
2;Овт;775048,00
2;ПК0;794863,00
2;ПК2;794863,00
2;РР0;20213,00
2;РР2;20213,00
2;ПР0;0,00
2;ПР1;0,00
2;ОПР1;0,00
2;СПР1;0,00
2;ФР1;0,00
2;ОФР1;0,00
2;СФР1;0,00
2;ОПР0;0,00
2;ПР2;0,00
2;ОПР2;0,00
2;СПР2;0,00
2;ФР2;0,00
2;ОФР2;0,00
2;СФР2;0,00
2;СПР0;0,00
2;ФР0;0,00
2;ОФР0;0,00
2;ТР;0,00
2;ОТР;0,00
2;ДТР;0,00
2;ГВР(ТР);0,00
2;ГВР(ВР);0,00
2;ГВР(ПР);0,00
2;ГВР(ФР);0,00
2;СФР0;0,00
2;ВР;1617,06
21;Ар1.0;332499,00
21;Ар1.2;332499,00
21;Ар2.0;10062,00
21;Ар2.2;10062,00
21;Ар4.0;920700,00
21;Ар4.2;920700,00
21;Ариск0;332499,00
21;Метод;1,00
21;Кф;0,92
21;Лам;262335,00
21;Лат;490409,00
21;Овт;915233,00
21;ПК0;295628,00
21;ПК2;295628,00
21;РР0;23216,00
21;РР2;23216,00
21;ПР0;0,00
21;ПР1;0,00
21;ОПР1;0,00
21;СПР1;0,00
21;ФР1;0,00
