,Ариск0,АРБ0,АРС0,АРЦК0,АРпр0,АРБ1,АРС1,АРЦК1,АРпр1,АРБ2,АРС2,АРЦК2,АРпр2,АРФЛ,АРкорп,АРМБР,АРМСП,БК2.0,БК2.1,БК2.2,Метод,ПК2.0,ПК2.1,ПК2.2,Кф,Кинс,Крд,КРФмп0,КРФрп0,КРФсп0,КРФмп1,КРФрп1,КРФсп1,КРФмп2,КРФрп2,КРФсп2,Кскр,Лам,Лат,ОД,Овм,Овт,РР0,РР1,РР2,ПР0,ПР1,ОПР1,СПР1,ФР1,ОФР1,СФР1,ОПР0,ПР2,ОПР2,СПР2,ФР2,ОФР2,СФР2,СПР0,ФР0,ОФР0,ТР,ОТР,ДТР,ГВР(ТР),ГВР(ВР),ГВР(ПР),ГВР(ФР),СФР0,ВР,Ар1.0,Ар1.2,Ар2.0,Ар2.2,Ар4.0,Ар4.2,БК,ПК0,ПК2,Ар1.1,Ар2.1,Ар4.1,ПК1,Ар3.0,Ар3.1,Ар3.2,Ар5.0,Ар5.2,Ар5.1,Ф,Кбр,Кр,Кз,Лат1,О,ВО,Лат1.1
1,153605228.0,28774174.0,1573557.0,1419221.0,34401193.0,28774174.0,1573557.0,1419221.0,23699663.0,28774174.0,1573557.0,1419221.0,23699663.0,155260092.0,456774160.0,251188.0,0.0,34516898.0,34516898.0,34516898.0,2.0,6564744.0,6564744.0,6564744.0,1.0,7200101.0,426856697.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,261300498.0,362507422.0,669759212.0,91860837.0,423610307.0,671865740.0,82027297.0,82027297.0,82027297.0,5394781.34,5394781.34,5394781.34,0.0,0.0,0.0,0.0,5394781.34,5394781.34,5394781.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1167402.41,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000,0.0,134886147.0,67688241.0,2487932.0,1081144319.0,134886147.0,67688241.0,2487932.0,1111753209.0,134886147.0,67688241.0,2487932.0,1100353209.0,2831807571.0,5257313314.0,0.0,64557659.0,851503153.0,851504433.0,851503445.0,2.0,491336381.0,491369704.0,491369704.0,1.0,256090344.0,7688981368.0,0.0,0.0,27579541.0,0.0,0.0,27579541.0,0.0,0.0,27579541.0,3837743343.0,1333732541.0,2606129274.0,1453036352.0,4985625421.0,7416108982.0,787154971.0,787154971.0,787154971.0,40997742.45,40997742.45,24490854.46,16506887.99,3230107.37,1516238.36,1713776.53,24490854.46,40997742.45,24490854.46,16506887.99,3230107.37,1516238.36,1713776.53,16506887.99,3230107.37,1516238.36,8059971.69,1021987.98,7036831.85,1151.86,155671.76,0.0,92.48,1713776.53,10684576.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,20383977.0,1150363.0,0.0,987362.0,782636.0,1150363.0,0.0,987362.0,782636.0,1150363.0,0.0,987362.0,782636.0,218860.0,7160478.0,0.0,0.0,12.0,12.0,12.0,2.0,1050687.0,1050687.0,1050687.0,1.02,8.0,2282483.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21372507.0,29392294.0,54593896.0,769866.0,43597529.0,45725398.0,15397888.0,15397888.0,15397888.0,1230591.0,1230591.0,203027.0,1027564.0,1240.0,620.0,620.0,203027.0,1230591.0,203027.0,1027564.0,1240.0,620.0,620.0,1027564.0,1240.0,620.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,620.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1016,328855.0,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,90298.0,439337.0,,,112363.0,186216.0,,186216.0,9494.87,,,,,,,2363.87,9494.87,2363.87,7131.0,3456.48,1728.24,1728.24,7131.0,3456.48,1728.24,,,,,,,,1728.24,1945.95,328855.0,328855.0,3151.0,3151.0,217889.0,209479.0,,169649.0,169649.0,,,,,8502.0,,8502.0,,,,,,,,,,,
1027,322831.0,,,,,,,,,,,,,,,,,,,,1.0,,,,1.01,,26500.0,,,,,,,,,,105750.0,312455.0,793860.0,,153521.0,199557.0,35125.0,35125.0,35125.0,2068.0,2068.0,2068.0,0.0,742.0,371.0,371.0,2068.0,2068.0,2068.0,0.0,742.0,371.0,371.0,0.0,742.0,371.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,371.0,0.0,157362.0,157362.0,143245.0,143245.0,299813.0,73648.0,,149211.0,149211.0,157362.0,143245.0,73648.0,149211.0,,,,,,,,,,,,,,
1046,278002.0,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,354808.0,,,232909.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,278002.0,278002.0,13203.0,13203.0,215820.0,215545.0,,150532.0,150532.0,,,,,,,,,,,,,,,,,,
1049,2711894.0,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,2680977.0,,,,,,,,,,1280264.0,1552034.0,3714511.0,1655521.0,3104650.0,3291610.0,15.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.21,1.01,0.2,0.0,0.0,0.0,0.0,0.0,0.0,2725022.0,2725022.0,221185.0,221185.0,4568484.0,4409987.0,24090.0,172015.0,172015.0,2725022.0,221185.0,4409987.0,172015.0,,,,,,,,,,,,,,
1052,825630.0,,,,,,,,,,,,,,,,,,,,1.0,,,,0.96,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,547458.0,1087040.0,,,992086.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,825630.0,825630.0,2235.0,2235.0,594680.0,594680.0,4015.0,140825.0,140825.0,,,,,0.0,,0.0,0.0,0.0,,,,,,,,,
106,596453.0,,,,,,,,,,,,,,,,,,,,1.0,,,,0.98,,,,,,,,,,,,,463876.0,971671.0,,,987954.0,44213.0,,44213.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,3537.0,596453.0,596453.0,144349.0,144349.0,472729.0,439967.0,,11618.0,11618.0,,,,,0.0,,0.0,0.0,0.0,,,,,,,,,
1067,3363470.0,40592.0,0.0,42283.0,1339884.0,40592.0,0.0,42283.0,1329527.0,40592.0,0.0,42283.0,1329527.0,3796088.0,6503898.0,0.0,0.0,61200.0,61200.0,61200.0,2.0,731850.0,731850.0,731850.0,0.97,24480.0,5651497.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7990063.0,4326522.0,5462053.0,437612.0,4750147.0,6373430.0,1401164.0,1401164.0,1401164.0,81697.92,81697.92,31460.61,50237.31,0.0,0.0,0.0,31460.61,81697.92,31460.61,50237.31,0.0,0.0,0.0,50237.31,0.0,0.0,4087.17,22.85,4064.32,0.0,0.0,0.0,0.0,0.0,26308.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1071,533947.0,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,903499.0,1166422.0,,,1144206.0,176113.0,,176113.0,14089.02,,,,,,,3886.44,14089.02,3886.44,10202.58,,,,10202.58,,,,,,,,,,,0.0,533947.0,533947.0,26497.0,26497.0,424602.0,395717.0,45478.0,487592.0,583740.0,,,,,,,,,,,,,,,,,,
1087,1867981.0,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,4998.0,,,,,,,,,,344100.0,17038614.0,19108331.0,13851.0,18482297.0,18486062.0,293174.0,293174.0,293174.0,15553.85,15553.85,14065.26,1488.59,,,,14065.26,15553.85,14065.26,1488.59,,,,1488.59,,,,,,,,,,,7900.05,1867981.0,1867981.0,2086919.0,2086919.0,6969495.0,6925700.0,,,,1867981.0,2086919.0,6925700.0,,,,,,,,,,,,,,,
