,Ар1.0,Ар1.1,Ар1.2,Ар2.0,Ар2.1,Ар2.2,Ар3.0,Ар3.1,Ар3.2,Ар4.0,Ар4.1,Ар4.2,Ар5.0,Ар5.1,Ар5.2,Ариск0,БК,Кф,Кинс,Крд,КРФмп0,КРФрп0,КРФсп0,КРФмп1,КРФрп1,КРФсп1,КРФмп2,КРФрп2,КРФсп2,Крис,Кскр,Лам,Лат,ОД,Овм,Овт,ПК0,ПК1,ПК2,РР0,РР1,РР2,ПР0,ПР1,ОПР1,СПР1,ФР1,ОФР1,СФР1,ОПР0,ПР2,ОПР2,СПР2,ФР2,ОФР2,СФР2,СПР0,ФР0,ОФР0,ТР,ОТР,ДТР,ГВР(ТР),ГВР(ВР),ГВР(ПР),ГВР(ФР),СФР0,ВР,Ф,Кбр,Кр,Кз,Лат1,О,ВО,Лат1.1
1,"128465905,00","128465905,00","128465905,00","30467502,00","30467502,00","30467502,00","197010,00","197010,00","197010,00","802100547,00","793113526,00","793113526,00","1302,00","1302,00","1302,00","128465905,00","19660550,00","1,00","7200101,00","443400932,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","328003,00","386733474,00","239317720,00","416769860,00","145309188,00","358624070,00","538526787,00","48258035,00","48258035,00","48258035,00","73085828,00","73085828,00","73085828,00","4574673,91","4574673,91","4548422,38","26251,53","0,00","0,00","0,00","4548422,38","4574673,91","4548422,38","26251,53","0,00","0,00","0,00","26251,53","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","1272192,33",,,,,,,,
1000,"1368280982,00","1368280982,00","1368280982,00","105422778,00","105422778,00","105422778,00","3808840,00","3808840,00","3808840,00","8499028590,00","8539547258,00","8539247258,00","4248533,00","4248533,00","4248533,00","1631559301,00","291288268,00","1,00","244050783,00","6947685660,00","0,00","0,00","63939799,00","0,00","0,00","63939799,00","0,00","0,00","63939799,00","4854661,00","3634222011,00","1048321140,00","1865902296,00","1255674007,00","2978286142,00","5116628519,00","1385509157,00","1385543759,00","1385509157,00","550688447,00","550688447,00","550688447,00","24934871,31","24934871,31","17708053,50","7226817,81","4669352,62","2334676,31","2334676,31","17708053,50","24934871,31","17708053,50","7226817,81","4669352,62","2334676,31","2334676,31","7226817,81","4669352,62","2334676,31","8530790,41","3321776,52","5209013,89","0,00","119050,35","0,00","0,00","2334676,31","5920061,43",,,,,,,,
101,"7912846,00","7912846,00","7912846,00","173612,00","173612,00","173612,00","0,00","0,00","0,00","3923866,00","3923866,00","3923866,00","0,00","0,00","0,00","14208511,00","487258,00","0,94","0,00","1666754,00",,,,,,,,,,"53926,00","9887229,00","30835344,00","37652590,00","590750,00","32360668,00","35472420,00","1577668,00","1577668,00","1577668,00","15337988,00","15337988,00","15337988,00","1225893,00","1225893,00","391934,00","833959,00","1146,00","573,00","573,00","391934,00","1225893,00","391934,00","833959,00","1146,00","573,00","573,00","833959,00","1146,00","573,00",,,,,,,,"573,00","0,00",,,,,,,,
1016,"424587,00",,"424587,00","2882,00",,"2882,00","6441,00",,"6441,00","235252,00",,"226832,00",,,,"424587,00",,"1,00",,,,,,,,,,,,,,"436519,00","531434,00",,,"172354,00","182081,00",,"182081,00","218460,00",,"218460,00","10511,11","10511,11","2771,33","7739,78","5515,20","2757,60","2757,60","2771,33","10511,11","2771,33","7739,78","5515,20","2757,60","2757,60","7739,78","5515,20","2757,60",,,,,,,,"2757,60","1450,51",,,,,,,,
1027,"671637,00","671637,00","671637,00","26224,00","26224,00","26224,00",,,,"585485,00","367094,00","367094,00",,,,"1360872,00",,"1,02",,"241633,00",,,,,,,,,,"15196,00","14239,00","890856,00","1186467,00",,"664701,00","774627,00","120846,00","120846,00","120846,00","82875,00","82875,00","82875,00","5972,00","5972,00","5972,00","0,00","658,00","329,00","329,00","5972,00","5972,00","5972,00","0,00","658,00","329,00","329,00","0,00","658,00","329,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","329,00","0,00",,,,,,,,
1046,"216102,00",,"216102,00","30000,00",,"30000,00",,,,"125410,00",,"125145,00",,,,"216102,00",,"1,00",,,,,,,,,,,,,,,"370476,00",,,"240803,00","183761,00",,"183761,00",,,,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",,,,,,,,
1049,"2405823,00","2405823,00","2405823,00","142729,00","142729,00","142729,00",,,,"4628940,00","4407156,00","4407156,00",,,,"2405823,00",,"0,99",,"2378556,00",,,,,,,,,,"26066,00","1245907,00","1177475,00","3185612,00","1613124,00","2442483,00","3002388,00","240116,00","240116,00","240116,00","4,00","4,00","4,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,34","0,28","0,06","0,00","0,00","0,00","0,00","0,00","0,00",,,,,,,,
1050,"428520,00",,"428520,00",,,,,,,"1171599,00",,"1157041,00",,,,"428520,00",,"1,00",,,,,,,,,,,,,,"426088,00","472015,00",,,"306807,00","362088,00",,"362088,00",,,,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",,,,,,,,
1052,"310067,00",,"310067,00","4436,00",,"4436,00","0,00",,"0,00","544870,00",,"544870,00","0,00",,"0,00","310067,00","0,00","1,00",,,"0,00","0,00","0,00",,,,"0,00","0,00","0,00",,,"291454,00","443842,00",,,"533472,00","88444,00",,"88444,00","0,00",,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",,,,,,,,
106,"1311582,00",,"1311582,00","142921,00",,"142921,00",,,,"959918,00",,"938752,00",,,,"1311582,00","3393,00","0,99",,,,,,,,,,,,,,"2323616,00","2815457,00",,,"2302269,00","33290,00",,"33290,00","20163,00",,"20163,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",,,,,,,,"0,00","1613,00",,,,,,,,
