date,rate
2013-09-20,5.5
2013-09-25,5.5
2013-10-01,5.5
2013-10-10,5.5
2013-10-15,5.5
2013-10-25,5.5
2013-10-28,5.5
2013-11-01,5.5
2013-11-05,5.5
2013-11-15,5.5
2013-11-20,5.5
2013-11-25,5.5
2013-11-28,5.5
2013-12-05,5.5
2013-12-10,5.5
2013-12-20,5.5
2013-12-25,5.5
2014-01-10,5.5
2014-01-15,5.5
2014-01-20,5.5
2014-01-28,5.5
2014-02-05,5.5
2014-02-10,5.5
2014-02-20,5.5
2014-02-25,5.5
2014-02-28,5.5
2014-03-05,7.0
2014-03-20,7.0
2014-03-25,7.0
2014-03-28,7.0
2014-04-01,7.0
2014-04-10,7.0
2014-04-15,7.0
2014-04-25,7.0
2014-04-28,7.5
2014-05-05,7.5
2014-05-15,7.5
2014-05-20,7.5
2014-05-28,7.5
2014-06-05,7.5
2014-06-10,7.5
2014-06-20,7.5
2014-06-25,7.5
2014-07-01,7.5
2014-07-10,7.5
2014-07-15,7.5
2014-07-25,7.5
2014-07-28,8.0
2014-08-01,8.0
2014-08-05,8.0
2014-08-15,8.0
2014-08-20,8.0
2014-08-25,8.0
2014-08-28,8.0
2014-09-01,8.0
2014-09-05,8.0
2014-09-10,8.0
2014-09-15,8.0
2014-09-25,8.0
2014-10-01,8.0
2014-10-10,8.0
2014-10-15,8.0
2014-10-20,8.0
2014-10-28,8.0
2014-11-05,9.5
2014-11-10,9.5
2014-11-20,9.5
2014-11-25,9.5
2014-11-28,9.5
2014-12-01,9.5
2014-12-05,9.5
2014-12-10,9.5
2014-12-15,10.5
2014-12-25,17.0
2015-01-15,17.0
2015-01-20,17.0
2015-01-28,17.0
2015-02-05,15.0
2015-02-10,15.0
2015-02-20,15.0
2015-02-25,15.0
2015-03-05,15.0
2015-03-10,15.0
2015-03-20,14.0
2015-03-25,14.0
2015-04-01,14.0
2015-04-10,14.0
2015-04-15,14.0
2015-04-20,14.0
2015-04-28,14.0
2015-05-01,14.0
2015-05-05,12.5
2015-05-15,12.5
2015-05-20,12.5
2015-05-25,12.5
2015-05-28,12.5
2015-06-01,12.5
2015-06-05,12.5
2015-06-10,12.5
2015-06-15,12.5
2015-06-25,11.5
2015-07-01,11.5
2015-07-10,11.5
2015-07-15,11.5
2015-07-20,11.5
2015-07-28,11.5
2015-08-05,11.0
2015-08-10,11.0
2015-08-20,11.0
2015-08-25,11.0
2015-08-28,11.0
2015-09-01,11.0
2015-09-10,11.0
2015-09-15,11.0
2015-09-25,11.0
2015-09-28,11.0
2015-10-01,11.0
2015-10-05,11.0
2015-10-15,11.0
2015-10-20,11.0
2015-10-28,11.0
2015-11-05,11.0
2015-11-10,11.0
2015-11-20,11.0
2015-11-25,11.0
2015-12-01,11.0
2015-12-10,11.0
2015-12-15,11.0
2015-12-25,11.0
2015-12-28,11.0
2016-01-01,11.0
2016-01-15,11.0
2016-01-20,11.0
2016-01-25,11.0
2016-01-28,11.0
2016-02-01,11.0
2016-02-05,11.0
2016-02-10,11.0
2016-02-15,11.0
2016-02-20,11.0
2016-02-25,11.0
2016-03-01,11.0
2016-03-10,11.0
2016-03-15,11.0
2016-03-25,11.0
2016-03-28,11.0
2016-04-01,11.0
2016-04-05,11.0
2016-04-15,11.0
2016-04-20,11.0
2016-04-25,11.0
2016-04-28,11.0
2016-05-05,11.0
2016-05-10,11.0
2016-05-20,11.0
2016-05-25,11.0
2016-06-01,11.0
2016-06-10,11.0
2016-06-15,10.5
2016-06-20,10.5
2016-06-28,10.5
2016-07-01,10.5
2016-07-05,10.5
2016-07-15,10.5
2016-07-20,10.5
2016-07-25,10.5
2016-07-28,10.5
2016-08-01,10.5
2016-08-05,10.5
2016-08-10,10.5
2016-08-15,10.5
2016-08-25,10.5
2016-09-01,10.5
2016-09-05,10.5
2016-09-15,10.5
2016-09-20,10.0
2016-09-28,10.0
2016-10-05,10.0
2016-10-10,10.0
2016-10-20,10.0
2016-10-25,10.0
2016-10-28,10.0
2016-11-01,10.0
2016-11-10,10.0
2016-11-15,10.0
2016-11-25,10.0
2016-11-28,10.0
2016-12-01,10.0
2016-12-05,10.0
2016-12-15,10.0
2016-12-20,10.0
2016-12-28,10.0
2017-01-10,10.0
2017-01-20,10.0
2017-01-25,10.0
2017-02-01,10.0
2017-02-10,10.0
2017-02-15,10.0
2017-02-20,10.0
2017-02-28,10.0
2017-03-01,10.0
2017-03-10,10.0
2017-03-15,10.0
2017-03-20,10.0
2017-03-28,9.75
2017-04-05,9.75
2017-04-10,9.75
2017-04-20,9.75
2017-04-25,9.75
2017-04-28,9.75
2017-05-05,9.25
2017-05-10,9.25
2017-05-15,9.25
2017-05-25,9.25
2017-06-01,9.25
2017-06-05,9.25
2017-06-15,9.25
2017-06-20,9.0
2017-06-28,9.0
2017-07-05,9.0
2017-07-10,9.0
2017-07-20,9.0
2017-07-25,9.0
2017-07-28,9.0
2017-08-01,9.0
2017-08-10,9.0
2017-08-15,9.0
2017-08-25,9.0
2017-08-28,9.0
2017-09-01,9.0
2017-09-05,9.0
2017-09-15,9.0
2017-09-20,8.5
2017-09-25,8.5
2017-09-28,8.5
2017-10-05,8.5
2017-10-10,8.5
2017-10-20,8.5
2017-10-25,8.5
2017-11-01,8.25
2017-11-10,8.25
2017-11-15,8.25
2017-11-20,8.25
2017-11-28,8.25
2017-12-01,8.25
2017-12-05,8.25
2017-12-15,8.25
2017-12-20,7.75
2017-12-25,7.75
2017-12-28,7.75
2018-01-10,7.75
2018-01-15,7.75
2018-01-25,7.75
2018-02-01,7.75
2018-02-05,7.75
2018-02-15,7.5
2018-02-20,7.5
2018-02-28,7.5
2018-03-01,7.5
2018-03-05,7.5
2018-03-15,7.5
2018-03-20,7.5
2018-03-28,7.25
2018-04-05,7.25
2018-04-10,7.25
2018-04-20,7.25
2018-04-25,7.25
2018-04-28,7.25
2018-05-10,7.25
2018-05-15,7.25
2018-05-25,7.25
2018-05-28,7.25
2018-06-01,7.25
2018-06-05,7.25
2018-06-15,7.25
2018-06-20,7.25
2018-06-25,7.25
2018-06-28,7.25
2018-07-05,7.25
2018-07-10,7.25
2018-07-20,7.25
2018-07-25,7.25
2018-08-01,7.25
2018-08-10,7.25
2018-08-15,7.25
2018-08-20,7.25
2018-08-28,7.25
2018-09-05,7.25
2018-09-10,7.25
2018-09-20,7.5
2018-09-25,7.5
2018-09-28,7.5
2018-10-01,7.5
2018-10-05,7.5
2018-10-10,7.5
2018-10-15,7.5
2018-10-25,7.5
2018-11-01,7.5
2018-11-15,7.5
2018-11-20,7.5
2018-11-28,7.5
2018-12-05,7.5
2018-12-10,7.5
2018-12-20,7.75
2018-12-25,7.75
2018-12-28,7.75
2019-01-10,7.75
2019-01-15,7.75
2019-01-25,7.75
2019-01-28,7.75
2019-02-01,7.75
2019-02-05,7.75
2019-02-15,7.75
2019-02-20,7.75
2019-02-25,7.75
2019-02-28,7.75
2019-03-01,7.75
2019-03-05,7.75
2019-03-15,7.75
2019-03-20,7.75
2019-03-25,7.75
2019-03-28,7.75
2019-04-01,7.75
2019-04-05,7.75
2019-04-10,7.75
2019-04-15,7.75
2019-04-25,7.75
2019-05-15,7.75
2019-05-20,7.75
2019-05-28,7.75
2019-06-05,7.75
2019-06-10,7.75
2019-06-20,7.5
2019-06-25,7.5
2019-06-28,7.5
2019-07-01,7.5
2019-07-05,7.5
2019-07-10,7.5
2019-07-15,7.5
2019-07-25,7.5
2019-08-01,7.25
2019-08-05,7.25
2019-08-15,7.25
2019-08-20,7.25
2019-08-28,7.25
2019-09-05,7.25
2019-09-10,7.0
2019-09-20,7.0
2019-09-25,7.0
2019-10-01,7.0
2019-10-10,7.0
2019-10-15,7.0
2019-10-25,7.0
2019-10-28,6.5
2019-11-01,6.5
2019-11-05,6.5
2019-11-15,6.5
2019-11-20,6.5
2019-11-25,6.5
2019-11-28,6.5
2019-12-05,6.5
2019-12-10,6.5
2019-12-20,6.25
2019-12-25,6.25
2020-01-10,6.25
2020-01-15,6.25
2020-01-20,6.25
2020-01-28,6.25
2020-02-05,6.25
2020-02-10,6.0
2020-02-20,6.0
2020-02-25,6.0
2020-02-28,6.0
2020-03-05,6.0
2020-03-10,6.0
2020-03-20,6.0
2020-03-25,6.0
2020-04-01,6.0
2020-04-10,6.0
2020-04-15,6.0
2020-04-20,6.0
2020-04-28,5.5
2020-05-05,5.5
2020-05-15,5.5
2020-05-20,5.5
2020-05-25,5.5
2020-05-28,5.5
2020-06-01,5.5
2020-06-05,5.5
2020-06-10,5.5
2020-06-15,5.5
2020-06-25,4.5
2020-07-10,4.5
2020-07-15,4.5
2020-07-20,4.5
2020-07-28,4.25
2020-08-05,4.25
2020-08-10,4.25
