date,eur_rub
2013-09-20,42.7465
2013-09-25,42.9653
2013-09-28,43.6497
2013-10-01,43.8143
2013-10-05,43.7337
2013-10-10,43.8471
2013-10-15,43.766
2013-10-25,43.7249
2013-11-01,43.9406
2013-11-15,44.0201
2013-11-20,44.0624
2013-11-28,44.8262
2013-12-05,45.1748
2013-12-10,44.9127
2013-12-20,45.0628
2013-12-25,44.652
2013-12-28,44.8736
2014-01-01,45.0559
2014-01-10,45.0672
2014-01-15,45.4139
2014-01-25,46.8985
2014-01-28,47.4962
2014-02-01,47.6408
2014-02-05,47.9535
2014-02-15,48.2618
2014-02-20,48.973
2014-02-25,48.7959
2014-02-28,49.3454
2014-03-01,49.5839
2014-03-05,49.952
2014-03-15,50.7635
2014-03-20,50.4146
2014-03-25,49.9167
2014-03-28,49.0484
2014-04-01,48.968
2014-04-05,48.6435
2014-04-10,49.2911
2014-04-15,49.8232
2014-04-25,49.3175
2014-05-01,49.3188
2014-05-15,47.6173
2014-05-20,47.6416
2014-05-28,46.7712
2014-06-05,47.8253
2014-06-10,46.8746
2014-06-20,46.696
2014-06-25,46.2212
2014-06-28,45.8251
2014-07-01,46.1827
2014-07-05,46.687
2014-07-10,46.4146
2014-07-15,46.6835
2014-07-25,47.1702
2014-08-01,47.4699
2014-08-05,47.8671
2014-08-15,48.1416
2014-08-20,48.2133
2014-08-28,47.6177
2014-09-05,48.3786
2014-09-10,47.7118
2014-09-20,49.5379
2014-09-25,49.3145
2014-10-01,49.9817
2014-10-10,50.9585
2014-10-15,51.5141
2014-10-25,52.9065
2014-10-28,53.2342
2014-11-01,52.7219
2014-11-15,58.9793
2014-11-20,58.909
2014-11-25,55.5336
2014-11-28,59.6215
2014-12-05,64.8443
2014-12-10,66.8809
2014-12-20,74.5727
2014-12-25,66.4031
2015-01-01,68.3681
2015-01-15,77.9629
2015-01-20,75.174
2015-01-28,76.2922
2015-02-05,75.0415
2015-02-10,74.5833
2015-02-20,70.9408
2015-02-25,71.9422
2015-02-28,68.6857
2015-03-05,69.1138
2015-03-20,64.1446
2015-03-25,64.3425
2015-03-28,62.5655
2015-04-01,62.0487
2015-04-10,56.5251
2015-04-15,54.8387
2015-04-25,54.659
2015-04-28,55.8747
2015-05-01,57.1578
2015-05-15,57.1383
2015-05-20,55.1085
2015-05-28,55.6757
2015-06-05,61.9471
2015-06-10,63.0721
2015-06-20,60.913
2015-06-25,60.5852
