date,jpy_rub
2013-09-20,31.9874
2013-09-25,32.0943
2013-09-28,32.7628
2013-10-01,33.1943
2013-10-05,33.0643
2013-10-10,33.2377
2013-10-15,32.8293
2013-10-25,32.502
2013-11-01,32.6189
2013-11-15,32.7743
2013-11-20,32.6833
2013-11-28,32.4923
2013-12-05,32.3808
2013-12-10,31.7973
2013-12-20,31.7234
2013-12-25,31.3193
2013-12-28,31.1472
2014-01-01,31.1228
2014-01-10,31.606
2014-01-15,32.141
2014-01-25,33.0903
2014-01-28,33.8248
2014-02-01,34.3169
2014-02-05,35.1044
2014-02-15,34.6019
2014-02-20,34.8163
2014-02-25,34.7298
2014-02-28,35.2155
2014-03-01,35.5414
2014-03-05,35.6383
2014-03-15,36.0143
2014-03-20,35.6596
2014-03-25,35.2962
2014-03-28,34.8372
2014-04-01,34.5766
2014-04-05,34.1734
2014-04-10,35.0346
2014-04-15,35.4048
2014-04-25,34.8756
2014-05-01,34.8667
2014-05-15,33.9801
2014-05-20,34.2581
2014-05-28,33.6415
2014-06-05,34.2143
2014-06-10,33.524
2014-06-20,33.6943
2014-06-25,33.3133
2014-06-28,33.1712
2014-07-01,33.3679
2014-07-05,33.6292
2014-07-10,33.521
2014-07-15,33.8097
2014-07-25,34.5755
2014-08-01,34.4583
2014-08-05,34.7484
2014-08-15,35.1656
2014-08-20,35.1892
2014-08-28,34.7815
2014-09-05,35.0629
2014-09-10,34.8137
2014-09-20,35.1981
2014-09-25,35.3614
2014-10-01,35.9815
2014-10-10,37.1165
2014-10-15,37.8241
2014-10-25,38.6344
2014-10-28,38.8675
2014-11-01,37.7345
2014-11-15,40.7323
2014-11-20,40.0864
2014-11-25,37.9745
2014-11-28,40.616
2014-12-05,43.9696
2014-12-10,45.2536
2014-12-20,50.8292
2014-12-25,45.2285
2015-01-01,46.9998
2015-01-15,56.5934
2015-01-20,55.4332
2015-01-28,57.3928
2015-02-05,55.7494
2015-02-10,55.4208
2015-02-20,52.3823
2015-02-25,53.2274
2015-02-28,51.3487
2015-03-05,51.6676
2015-03-20,49.5391
2015-03-25,49.1622
2015-03-28,48.322
2015-04-01,47.9897
2015-04-10,43.6834
2015-04-15,43.3938
2015-04-25,42.1079
2015-04-28,43.166
2015-05-01,43.0371
2015-05-15,42.0148
2015-05-20,40.9797
2015-05-28,41.4695
2015-06-05,44.3421
2015-06-10,44.9329
2015-06-20,43.6853
2015-06-25,43.6455
2015-07-01,45.7228
2015-07-10,46.9553
2015-07-15,46.2085
2015-07-25,46.8044
2015-07-28,47.6389
2015-08-01,48.5798
2015-08-05,50.7282
2015-08-15,52.229
2015-08-20,52.9058
2015-08-25,58.7522
2015-08-28,56.0916
2015-09-01,55.0297
2015-09-05,56.8614
2015-09-10,56.0387
2015-09-15,56.5367
2015-09-25,55.3992
2015-10-01,54.7142
2015-10-10,51.0083
2015-10-15,52.7799
2015-10-20,51.4869
2015-10-28,52.7302
2015-11-10,52.3949
2015-11-20,52.6776
2015-11-25,53.5332
2015-11-28,54.1281
2015-12-01,54.3218
2015-12-05,55.1304
2015-12-10,56.3564
2015-12-15,57.8955
2015-12-25,57.7068
2016-01-01,60.5806
2016-01-15,64.9353
2016-01-20,66.5504
2016-01-28,66.8191
2016-02-05,64.9349
2016-02-10,68.3287
2016-02-20,67.6251
2016-02-25,68.1805
2016-03-01,67.1706
2016-03-05,64.3021
2016-03-10,64.3155
2016-03-15,61.6767
2016-03-25,61.0754
2016-04-01,60.3345
2016-04-05,61.5122
2016-04-15,60.8904
2016-04-20,60.1856
2016-04-28,58.6436
2016-05-05,61.837
2016-05-20,60.0853
2016-05-25,61.2127
2016-05-28,60.177
2016-06-01,59.4319
2016-06-10,59.9203
2016-06-15,62.4019
2016-06-25,63.6479
2016-06-28,63.7519
2016-07-01,62.4184
2016-07-05,62.0071
2016-07-15,60.2172
2016-07-20,59.3873
2016-07-28,62.5117
2016-08-05,65.4936
2016-08-10,63.3066
2016-08-20,63.8147
2016-08-25,64.6814
2016-09-01,63.2148
2016-09-10,62.7652
2016-09-15,62.9499
2016-09-20,63.7726
2016-09-28,63.2965
2016-10-01,62.7373
2016-10-05,61.0018
2016-10-15,60.4398
2016-10-20,60.494
2016-10-25,59.896
2016-10-28,60.2589
2016-11-01,60.2271
2016-11-10,61.8727
2016-11-15,61.1023
2016-11-25,56.9936
2016-12-01,57.8712
2016-12-10,55.2984
2016-12-15,52.8121
2016-12-20,52.6504
2016-12-28,51.9117
2017-01-10,51.1124
2017-01-20,51.7117
2017-01-25,52.2678
2017-01-28,52.404
2017-02-01,52.8662
2017-02-10,52.526
2017-02-15,50.8779
2017-02-28,51.5822
2017-03-01,51.5614
2017-03-10,51.3277
2017-03-15,51.2309
2017-03-25,51.6015
2017-03-28,51.7218
2017-04-01,50.0162
2017-04-05,51.2021
2017-04-15,51.7009
2017-04-20,51.5606
2017-04-25,50.9142
2017-04-28,51.1659
2017-05-05,51.0317
2017-05-20,51.2901
2017-05-25,50.2966
2017-06-01,51.1367
2017-06-10,51.6627
2017-06-15,51.7446
2017-06-20,52.1843
2017-06-28,52.7874
2017-07-01,53.0116
2017-07-05,52.309
2017-07-15,52.8397
2017-07-20,52.852
2017-07-25,53.801
2017-07-28,53.3952
2017-08-01,54.2577
2017-08-05,54.7865
2017-08-10,54.6417
2017-08-15,54.4791
2017-08-25,54.0879
2017-09-01,52.9895
2017-09-05,52.8024
2017-09-15,52.345
2017-09-20,52.0253
2017-09-28,51.4343
2017-10-05,51.3286
2017-10-10,51.7597
2017-10-20,51.1035
2017-10-25,50.6734
2017-10-28,50.9369
2017-11-01,51.4067
2017-11-10,52.1591
2017-11-15,52.3471
2017-11-25,52.5538
2017-11-28,52.4241
2017-12-01,52.1488
2017-12-05,52.2508
2017-12-15,52.0855
2017-12-20,52.0553
2017-12-28,50.757
2018-01-10,50.5483
2018-01-20,51.1726
2018-01-25,51.3255
2018-02-01,51.6896
2018-02-10,53.2489
2018-02-15,53.6369
2018-02-20,52.8628
2018-02-28,51.998
2018-03-01,52.61
2018-03-15,53.387
2018-03-20,54.3739
2018-03-28,54.1786
2018-04-05,54.4487
2018-04-10,54.6655
2018-04-20,56.6941
2018-04-25,56.6638
2018-04-28,57.3757
2018-05-05,57.9323
2018-05-15,56.3863
