date,req_res
2012-11-01,419.5
2012-11-05,419.5
2012-11-10,419.5
2012-11-15,419.5
2012-11-20,419.5
2012-11-25,419.5
2012-11-28,419.5
2012-12-01,425.6
2012-12-05,425.6
2012-12-10,425.6
2012-12-15,425.6
2012-12-20,425.6
2012-12-25,425.6
2012-12-28,425.6
2013-01-01,441.0
2013-01-05,441.0
2013-01-10,441.0
2013-01-15,441.0
2013-01-20,441.0
2013-01-25,441.0
2013-01-28,441.0
2013-02-01,446.7
2013-02-05,446.7
2013-02-10,446.7
2013-02-15,446.7
2013-02-20,446.7
2013-02-25,446.7
2013-02-28,446.7
2013-03-01,449.5
2013-03-05,449.5
2013-03-10,449.5
2013-03-15,449.5
2013-03-20,449.5
2013-03-25,449.5
2013-03-28,449.5
2013-04-01,473.6
2013-04-05,473.6
2013-04-10,473.6
2013-04-15,473.6
2013-04-20,473.6
2013-04-25,473.6
2013-04-28,473.6
2013-05-01,487.0
2013-05-05,487.0
2013-05-10,487.0
2013-05-15,487.0
2013-05-20,487.0
2013-05-25,487.0
2013-05-28,487.0
2013-06-01,497.7
2013-06-05,497.7
2013-06-10,497.7
2013-06-15,497.7
2013-06-20,497.7
2013-06-25,497.7
2013-06-28,497.7
2013-07-01,507.5
2013-07-05,507.5
2013-07-10,507.5
2013-07-15,507.5
2013-07-20,507.5
2013-07-25,507.5
2013-07-28,507.5
2013-08-01,501.6
2013-08-05,501.6
2013-08-10,501.6
2013-08-15,501.6
2013-08-20,501.6
2013-08-25,501.6
2013-08-28,501.6
2013-09-01,506.1
2013-09-05,506.1
2013-09-10,506.1
2013-09-15,506.1
2013-09-20,506.1
2013-09-25,506.1
2013-09-28,506.1
2013-10-01,507.7
2013-10-05,507.7
2013-10-10,507.7
2013-10-15,507.7
2013-10-20,507.7
2013-10-25,507.7
2013-10-28,507.7
2013-11-01,506.4
2013-11-05,506.4
2013-11-10,506.4
2013-11-15,506.4
2013-11-20,506.4
2013-11-25,506.4
2013-11-28,506.4
2013-12-01,402.3
2013-12-05,402.3
2013-12-10,402.3
2013-12-15,402.3
2013-12-20,402.3
2013-12-25,402.3
2013-12-28,402.3
2014-01-01,404.8
2014-01-05,404.8
2014-01-10,404.8
2014-01-15,404.8
2014-01-20,404.8
2014-01-25,404.8
2014-01-28,404.8
2014-02-01,412.3
2014-02-05,412.3
2014-02-10,412.3
2014-02-15,412.3
2014-02-20,412.3
2014-02-25,412.3
2014-02-28,412.3
2014-03-01,439.9
2014-03-05,439.9
2014-03-10,439.9
2014-03-15,439.9
2014-03-20,439.9
2014-03-25,439.9
2014-03-28,439.9
2014-04-01,430.1
2014-04-05,430.1
2014-04-10,430.1
2014-04-15,430.1
2014-04-20,430.1
2014-04-25,430.1
2014-04-28,430.1
2014-05-01,430.3
2014-05-05,430.3
2014-05-10,430.3
2014-05-15,430.3
2014-05-20,430.3
2014-05-25,430.3
2014-05-28,430.3
2014-06-01,427.8
2014-06-05,427.8
2014-06-10,427.8
2014-06-15,427.8
2014-06-20,427.8
2014-06-25,427.8
2014-06-28,427.8
2014-07-01,428.6
2014-07-05,428.6
2014-07-10,428.6
2014-07-15,428.6
2014-07-20,428.6
2014-07-25,428.6
2014-07-28,428.6
2014-08-01,446.6
2014-08-05,446.6
2014-08-10,446.6
2014-08-15,446.6
2014-08-20,446.6
2014-08-25,446.6
