date,sal_vol
2013-09-20,-167.2
2013-09-25,-371.9
2013-10-01,-466.7
2013-10-10,-219.3
2013-10-15,3.3
2013-10-25,-44.1
2013-10-28,-254.3
2013-11-01,-388.3
2013-11-05,-195.5
2013-11-15,-118.8
2013-11-20,-37.7
2013-11-25,-191.9
2013-11-28,-230.9
2013-12-05,-428.8
2013-12-10,-606.5
2013-12-20,-581.8
2013-12-25,-1416.8
2014-01-10,-793.0
2014-01-15,-89.1
2014-01-20,-33.9
2014-01-28,-287.6
2014-02-05,-401.8
2014-02-10,60.1
2014-02-20,-12.1
2014-02-25,-50.5
2014-02-28,-50.4
2014-03-05,-266.4
2014-03-20,-291.2
2014-03-25,-478.7
2014-03-28,-578.0
2014-04-01,-627.7
2014-04-10,366.8
2014-04-15,-5.1
2014-04-25,-116.0
2014-04-28,-431.3
2014-05-05,-229.9
2014-05-15,-55.2
2014-05-20,-180.2
2014-05-28,-234.0
2014-06-05,37.5
2014-06-10,-266.8
2014-06-20,6.3
2014-06-25,82.6
2014-07-01,-154.8
2014-07-10,247.2
2014-07-15,-6.5
2014-07-25,-17.1
2014-07-28,-66.7
2014-08-01,48.9
2014-08-05,73.1
2014-08-15,79.5
2014-08-20,159.8
2014-08-25,70.4
2014-08-28,82.6
2014-09-01,97.9
2014-09-05,277.6
2014-09-10,444.0
2014-09-15,108.9
2014-09-25,2.2
2014-10-01,-504.0
2014-10-10,134.3
2014-10-15,200.8
2014-10-20,-314.9
2014-10-28,-86.8
2014-11-05,-184.0
2014-11-10,6.1
2014-11-20,-150.5
2014-11-25,-333.7
2014-11-28,-396.2
2014-12-01,-381.7
2014-12-05,186.1
2014-12-10,609.4
2014-12-15,-204.9
2014-12-25,188.5
2015-01-15,500.4
2015-01-20,302.7
2015-01-28,-154.6
2015-02-05,62.0
2015-02-10,-154.4
2015-02-20,63.6
2015-02-25,9.3
2015-03-05,39.6
2015-03-10,-77.4
2015-03-20,-59.5
2015-03-25,140.8
2015-04-01,-122.0
2015-04-10,247.7
2015-04-15,442.0
2015-04-20,-83.5
2015-04-28,7.5
2015-05-05,60.1
2015-05-15,18.9
2015-05-20,573.3
2015-05-25,161.1
2015-05-28,143.5
2015-06-01,181.2
2015-06-05,-59.5
2015-06-10,334.6
2015-06-15,202.2
2015-06-25,133.0
2015-07-01,-178.6
2015-07-10,467.2
2015-07-15,34.8
2015-07-20,187.9
2015-07-28,198.8
2015-08-05,-99.1
2015-08-10,406.7
2015-08-20,177.4
2015-08-25,163.1
2015-08-28,162.9
2015-09-01,171.7
2015-09-10,628.6
2015-09-15,31.1
2015-09-25,192.0
2015-09-28,177.5
2015-10-01,-48.1
2015-10-05,93.2
2015-10-15,155.1
2015-10-20,129.5
2015-10-28,60.8
2015-11-05,-381.9
2015-11-10,258.6
2015-11-20,213.0
2015-11-25,287.4
2015-12-01,290.8
2015-12-10,380.8
2015-12-15,-206.3
2015-12-25,212.9
2015-12-28,90.2
2016-01-15,-174.6
2016-01-20,-292.5
2016-01-25,-7.7
2016-01-28,23.4
2016-02-01,-80.8
2016-02-05,-197.9
2016-02-10,789.7
2016-02-15,204.4
2016-02-20,115.0
2016-02-25,124.9
2016-03-01,-275.8
2016-03-10,127.9
2016-03-15,235.5
2016-03-25,243.0
2016-03-28,167.7
2016-04-01,-278.9
2016-04-05,430.7
2016-04-15,210.1
2016-04-20,398.5
2016-04-25,288.7
2016-04-28,220.1
2016-05-05,173.8
2016-05-10,222.4
2016-05-20,193.7
2016-05-25,387.7
2016-06-01,-463.3
2016-06-10,178.1
2016-06-15,100.7
