date,kop_dep
2013-12-20,104748.56
2013-12-25,97507.4
2014-01-10,249552.32
2014-01-15,136797.77
2014-01-20,118473.25
2014-01-28,114920.59
2014-02-05,62602.95
2014-02-10,114994.04
2014-02-20,71068.19
2014-02-25,66443.64
2014-02-28,77589.55
2014-03-05,72984.22
2014-03-20,74042.0
2014-03-25,74372.97
2014-03-28,73686.22
2014-04-01,118676.63
2014-04-10,422168.64
2014-04-15,76555.17
2014-04-25,67642.2
2014-04-28,72178.24
2014-05-05,98451.26
2014-05-15,64863.78
2014-05-20,62853.82
2014-05-28,74330.66
2014-06-05,70404.57
2014-06-10,76135.25
2014-06-20,68066.64
2014-06-25,132484.5
2014-07-01,88965.68
2014-07-10,285541.78
2014-07-15,76972.54
2014-07-25,80633.2
2014-07-28,76166.14
2014-08-01,107808.31
2014-08-05,475218.75
2014-08-15,173868.89
2014-08-20,89572.33
2014-08-25,86627.97
2014-08-28,109913.16
2014-09-01,133990.34
2014-09-05,298414.73
2014-09-10,375608.24
2014-09-15,177980.53
2014-09-25,146971.51
2014-10-01,216044.65
2014-10-10,197739.51
2014-10-15,106738.74
2014-10-20,96259.34
2014-10-28,91719.1
2014-11-05,141350.48
2014-11-10,164652.47
2014-11-20,73677.47
2014-11-25,90315.25
2014-11-28,107925.41
2014-12-01,188751.85
2014-12-05,233603.14
2014-12-10,185935.26
2014-12-15,154321.5
2014-12-25,454416.79
2015-01-15,548638.01
2015-01-20,358505.18
2015-01-28,222189.4
2015-02-05,483405.6
2015-02-10,390284.5
2015-02-20,167826.86
2015-02-25,232934.15
2015-03-05,275024.51
2015-03-10,124141.67
2015-03-20,181527.52
2015-03-25,136322.21
2015-04-01,292148.5
2015-04-10,325079.07
2015-04-15,204871.15
2015-04-20,202268.58
2015-04-28,201779.01
2015-05-05,313886.14
2015-05-15,207168.34
2015-05-20,208540.64
2015-05-25,237752.64
2015-05-28,197547.29
2015-06-01,246806.28
2015-06-05,281212.54
2015-06-10,294779.39
2015-06-15,282548.15
2015-06-25,337038.71
2015-07-01,293115.56
2015-07-10,494895.45
2015-07-15,253746.81
2015-07-20,249606.02
2015-07-28,268982.72
2015-08-05,429869.21
2015-08-10,485155.25
2015-08-20,224129.36
2015-08-25,227891.32
2015-08-28,219536.5
2015-09-01,291030.94
2015-09-10,675516.29
2015-09-15,232922.73
2015-09-25,273113.33
2015-09-28,259697.74
2015-10-01,280538.86
2015-10-05,246385.1
2015-10-15,225911.49
2015-10-20,227147.39
2015-10-28,199688.02
2015-11-05,206211.82
2015-11-10,420758.63
2015-11-20,434432.23
2015-11-25,427098.47
2015-12-01,417632.55
2015-12-10,563200.13
2015-12-15,251471.37
2015-12-25,443846.44
2015-12-28,413171.12
2016-01-15,288976.6
2016-01-20,366600.84
2016-01-25,389145.78
2016-01-28,274986.22
2016-02-01,405986.93
2016-02-05,298937.35
2016-02-10,1008129.76
2016-02-15,315093.49
2016-02-20,344205.85
2016-02-25,342971.46
2016-03-01,338736.56
2016-03-10,339674.67
2016-03-15,439603.55
2016-03-25,317259.04
2016-03-28,276564.78
2016-04-01,400861.06
2016-04-05,517316.39
2016-04-15,279443.28
2016-04-20,277815.53
2016-04-25,361558.4
2016-04-28,296810.85
2016-05-05,246975.84
2016-05-10,300112.57
2016-05-20,310292.16
2016-05-25,297033.64
2016-06-01,340330.3
2016-06-10,315727.67
2016-06-15,256969.48
2016-06-20,263730.92
2016-06-28,289177.01
2016-07-01,436840.16
2016-07-05,417954.61
2016-07-15,347952.25
2016-07-20,312071.17
2016-07-25,346258.1
2016-07-28,299514.42
2016-08-01,392660.43
2016-08-05,351185.89
2016-08-10,398858.79
2016-08-15,434330.74
2016-08-25,410194.29
2016-09-01,587245.03
2016-09-05,519660.06
2016-09-15,600797.77
2016-09-20,581703.14
2016-09-28,344698.17
2016-10-05,598315.56
2016-10-10,459471.35
2016-10-20,424419.75
2016-10-25,408952.31
2016-10-28,421584.06
2016-11-01,499629.6
2016-11-10,766005.64
2016-11-15,743654.0
2016-11-25,587959.48
2016-11-28,521419.24
2016-12-01,527868.02
2016-12-05,515917.88
2016-12-15,540012.79
2016-12-20,532202.63
2016-12-28,681720.13
2017-01-10,1056739.84
2017-01-20,981735.51
2017-01-25,938026.2
2017-02-01,935431.22
2017-02-10,880833.76
2017-02-15,881338.85
2017-02-20,1028477.12
2017-02-28,629846.08
2017-03-01,636943.54
2017-03-10,950592.62
2017-03-15,945765.75
2017-03-20,1084390.62
2017-03-28,815039.25
2017-04-05,490816.64
2017-04-10,900796.0
2017-04-20,1033497.26
2017-04-25,1043650.71
2017-04-28,595003.79
2017-05-05,377969.39
2017-05-10,383365.08
2017-05-15,539704.01
2017-05-25,637262.79
2017-06-01,787149.88
2017-06-05,741405.2
2017-06-15,744169.56
2017-06-20,742065.11
2017-06-28,577917.47
2017-07-05,641401.75
2017-07-10,661600.84
2017-07-20,762564.68
2017-07-25,771379.33
2017-07-28,674371.48
2017-08-01,701659.51
2017-08-10,968843.61
2017-08-15,982306.38
2017-08-25,1179865.27
2017-08-28,1144664.46
2017-09-01,1189436.29
2017-09-05,1322362.11
2017-09-15,1571444.53
2017-09-20,1167034.95
2017-09-25,1225110.25
2017-09-28,1045107.25
2017-10-05,1080303.07
2017-10-10,1398002.84
2017-10-20,1536159.22
2017-10-25,1972192.73
2017-11-01,1357671.71
2017-11-10,1392853.48
2017-11-15,1424454.2
2017-11-20,1773761.27
2017-11-28,1821745.99
2017-12-01,1546052.37
2017-12-05,1541305.09
2017-12-15,2028628.66
2017-12-20,1985160.88
2017-12-25,2047869.29
2017-12-28,1826021.57
2018-01-10,3388607.67
2018-01-15,2000598.89
2018-01-25,2815087.4
2018-02-01,2652565.37
2018-02-05,3209916.64
2018-02-15,3222033.43
2018-02-20,3232597.24
2018-02-28,2352669.65
2018-03-01,2445931.02
2018-03-05,2499044.21
2018-03-15,2998635.7
2018-03-20,3650209.14
2018-03-28,2733657.4
2018-04-05,2683406.08
2018-04-10,3155270.77
2018-04-20,2947224.1
2018-04-25,3048920.69
2018-04-28,2678542.09
2018-05-10,3758759.16
2018-05-15,3302361.62
2018-05-25,3328782.08
2018-05-28,2806938.06
2018-06-01,2753004.62
2018-06-05,3371451.39
2018-06-15,3178327.16
2018-06-20,3246101.23
2018-06-25,3058642.57
2018-06-28,2564780.83
2018-07-05,3283671.07
2018-07-10,3786297.28
2018-07-20,2543856.66
2018-07-25,2615508.86
2018-08-01,2506670.17
2018-08-10,2676119.34
2018-08-15,2667446.33
2018-08-20,2726198.2
2018-08-28,2698721.19
2018-09-05,2873365.44
2018-09-10,2370216.33
2018-09-20,2434552.45
2018-09-25,2405497.61
2018-09-28,1951973.7
2018-10-01,2260830.25
2018-10-05,2212233.79
2018-10-10,3217358.88
2018-10-15,1766046.62
2018-10-25,1870143.04
2018-11-01,2128797.17
2018-11-15,1850673.95
2018-11-20,2248597.79
2018-11-28,1772510.03
2018-12-05,2189784.61
2018-12-10,1479819.16
2018-12-20,1536401.06
2018-12-25,1585568.43
2018-12-28,1461541.69
2019-01-10,1494285.17
2019-01-15,1441668.09
2019-01-25,1143977.25
2019-01-28,1124058.82
2019-02-01,1442392.77
2019-02-05,2772588.28
2019-02-15,1839349.23
2019-02-20,2348962.01
2019-02-25,1928415.68
2019-02-28,2274389.55
2019-03-01,2297133.54
2019-03-05,2718377.09
2019-03-15,1924452.16
2019-03-20,1935951.29
2019-03-25,2108543.94
2019-03-28,1818108.96
2019-04-01,1816383.46
2019-04-05,1904848.09
2019-04-10,2641410.33
2019-04-15,1828013.95
2019-04-25,1442180.25
2019-05-15,1350277.82
2019-05-20,1147761.71
2019-05-28,1367828.94
2019-06-05,1465484.99
2019-06-10,1256273.67
2019-06-20,991808.4
2019-06-25,997553.39
2019-06-28,838029.13
2019-07-01,857279.63
2019-07-05,1244180.4
2019-07-10,1756454.35
2019-07-15,1048677.19
2019-07-25,1330029.66
2019-08-01,1425573.77
2019-08-05,1438776.02
2019-08-15,2514230.61
2019-08-20,2527432.37
2019-08-28,2441857.48
2019-09-05,2526516.88
2019-09-10,2518745.5
2019-09-20,2824359.27
2019-09-25,2824528.32
2019-10-01,2315137.99
2019-10-10,2912924.31
2019-10-15,2929847.52
2019-10-25,2422147.91
2019-10-28,2406790.43
2019-11-01,1424122.48
2019-11-05,1466374.51
2019-11-15,2336070.4
2019-11-20,2333349.01
2019-11-25,1877538.54
2019-11-28,1743431.55
2019-12-05,1341963.21
2019-12-10,2219363.65
2019-12-20,1384194.78
