date,req_res
2020-05-01,671.3
2020-05-05,671.3
2020-05-10,671.3
2020-05-15,671.3
2020-05-20,671.3
2020-05-25,671.3
2020-05-28,671.3
2020-06-01,656.3
2020-06-05,656.3
2020-06-10,656.3
2020-06-15,656.3
2020-06-20,656.3
2020-06-25,656.3
2020-06-28,656.3
2020-07-01,646.7
2020-07-05,646.7
2020-07-10,646.7
2020-07-15,646.7
2020-07-20,646.7
2020-07-25,646.7
2020-07-28,646.7
2020-08-01,659.2
2020-08-05,659.2
2020-08-10,659.2
2020-08-15,659.2
2020-08-20,659.2
2020-08-25,659.2
