date,rate,eur_rub,jpy_rub,idl_vol,bas_dep,req_res,act_bal,org_num,rep_vol,sal_vol,res_gol,kop_dep,res_res
2020-05-28,5.5,77.9069,66.0841,248.2,67601533.0,671.3,2699.5,429.0,526021.0,127.2,126084.0,909358.64,566012.0
2020-06-05,5.5,77.3245,63.2325,75.76,66860018.0,656.3,2635.7,428.0,56.0,106.4,127566.0,943561.43,566134.0
2020-06-10,5.5,77.3481,63.6199,339.92,66860018.0,656.3,2635.7,428.0,56.0,852.1,127566.0,2128644.62,566134.0
2020-06-25,4.5,77.759,64.615,517.4,66860018.0,656.3,2635.7,428.0,56.0,114.7,127566.0,1271010.82,566134.0
2020-07-10,4.5,80.4134,66.0917,171.68,67667780.0,646.7,2589.6,424.0,5105.0,129.8,130790.0,1444741.23,568872.0
2020-07-15,4.5,80.623,66.2977,82.7,67667780.0,646.7,2589.6,424.0,5105.0,-266.9,130790.0,1439472.27,568872.0
2020-07-28,4.25,83.7759,67.8692,216.56,67667780.0,646.7,2589.6,424.0,5105.0,238.2,130790.0,1570877.45,568872.0
2020-08-05,4.25,86.5011,69.2498,342.65,68676951.0,659.2,2631.7,419.0,5124.0,1056.4,144322.0,2756395.28,591753.0
2020-08-20,4.25,87.4037,69.4441,50.91,68676951.0,659.2,2631.7,419.0,5124.0,133.4,144322.0,1806529.19,591753.0
2020-08-25,4.25,87.90299999999999,70.3288,177.42,68676951.0,659.2,2631.7,419.0,5124.0,144.9,144322.0,1817985.9,591753.0
