REGN;C1_2;C2_2
1;Ар1.0;159315013,00
1;Ар1.1;159315013,00
1;Ар1.2;159315013,00
1;Ар2.0;32288831,00
1;Ар2.1;32288831,00
1;Ар2.2;32288831,00
1;Ар3.0;244510,00
1;Ар3.1;244510,00
1;Ар3.2;244510,00
1;Ар4.0;740368742,00
1;Ар4.1;730239280,00
1;Ар4.2;730239280,00
1;Ар5.0;1172,00
1;Ар5.1;1172,00
1;Ар5.2;1172,00
1;Ариск0;159315013,00
1;БК;21727630,00
1;Кф;1,00
1;Кинс;7200101,00
1;Крд;437666964,00
1;КРФмп0;0,00
1;КРФрп0;0,00
1;КРФсп0;0,00
1;КРФмп1;0,00
1;КРФрп1;0,00
1;КРФсп1;0,00
1;КРФмп2;0,00
1;КРФрп2;0,00
1;КРФсп2;0,00
1;Крис;330049,00
1;Кскр;297290239,00
1;Лам;217032195,00
1;Лат;446737969,00
1;ОД;113320342,00
1;Овм;308157048,00
1;Овт;604549205,00
1;ПК0;35487663,00
1;ПК1;35487663,00
1;ПК2;35487663,00
1;РР0;80104905,00
1;РР1;80104905,00
1;РР2;80104905,00
1;ПР0;5733867,07
1;ПР1;5733867,07
1;ОПР1;5733867,07
1;СПР1;0,00
1;ФР1;0,00
1;ОФР1;0,00
1;СФР1;0,00
1;ОПР0;5733867,07
1;ПР2;5733867,07
1;ОПР2;5733867,07
1;СПР2;0,00
1;ФР2;0,00
1;ОФР2;0,00
1;СФР2;0,00
1;СПР0;0,00
1;ФР0;0,00
1;ОФР0;0,00
1;ТР;0,00
1;ОТР;0,00
1;ДТР;0,00
1;ГВР(ТР);0,00
1;ГВР(ВР);0,00
1;ГВР(ПР);0,00
1;ГВР(ФР);0,00
1;СФР0;0,00
1;ВР;674525,33
2;Ар1.0;317883,00
2;Ар1.2;317883,00
2;Ар2.0;159,00
2;Ар2.2;159,00
2;Ар4.0;307844,00
2;Ар4.2;287608,00
2;Ариск0;317883,00
2;БК;119080,00
2;Кф;1,00
2;Лам;318684,00
2;Лат;785743,00
2;Овт;523817,00
2;ПК0;813103,00
2;ПК2;813103,00
2;РР0;10263,00
2;РР2;10263,00
2;ПР0;0,00
2;ПР1;0,00
2;ОПР1;0,00
2;СПР1;0,00
2;ФР1;0,00
2;ОФР1;0,00
2;СФР1;0,00
2;ОПР0;0,00
2;ПР2;0,00
2;ОПР2;0,00
2;СПР2;0,00
2;ФР2;0,00
2;ОФР2;0,00
2;СФР2;0,00
2;СПР0;0,00
2;ФР0;0,00
2;ОФР0;0,00
2;ТР;0,00
2;ОТР;0,00
2;ДТР;0,00
2;ГВР(ТР);0,00
2;ГВР(ВР);0,00
2;ГВР(ПР);0,00
2;ГВР(ФР);0,00
2;СФР0;0,00
2;ВР;821,01
21;Ар1.0;346843,00
21;Ар1.2;346843,00
21;Ар2.0;11685,00
21;Ар2.2;11685,00
21;Ар3.0;0,00
21;Ар3.2;0,00
21;Ар4.0;715341,00
21;Ар4.2;715341,00
21;Ариск0;346843,00
21;Кф;0,98
21;Лам;245832,00
21;Лат;402411,00
21;Овт;581595,00
21;ПК0;236561,00
21;ПК2;236561,00
21;РР0;22234,00
21;РР2;22234,00
21;ПР0;0,00
21;ПР1;0,00
21;ОПР1;0,00
21;СПР1;0,00
21;ФР1;0,00
21;ОФР1;0,00
21;СФР1;0,00
21;ОПР0;0,00
21;ПР2;0,00
21;ОПР2;0,00
21;СПР2;0,00
21;ФР2;0,00
21;ОФР2;0,00
21;СФР2;0,00
21;СПР0;0,00
21;ФР0;0,00
21;ОФР0;0,00
21;ТР;0,00
21;ОТР;0,00
21;ДТР;0,00
21;ГВР(ТР);0,00
21;ГВР(ВР);0,00
21;ГВР(ПР);0,00
21;ГВР(ФР);0,00
21;СФР0;0,00
21;ВР;1778,75
52;Ар1.0;1088636,00
52;Ар1.1;1088636,00
52;Ар1.2;1088636,00
52;Ар2.0;45489,00
52;Ар2.1;45489,00
52;Ар2.2;45489,00
52;Ар4.0;7400989,00
52;Ар4.1;7400865,00
52;Ар4.2;7400865,00
52;Ариск0;1088636,00
52;Кф;0,98
52;Крд;39577,00
52;Крис;913,00
52;Кскр;6725994,00
52;Лам;1222605,00
52;Лат;1855792,00
52;ОД;611186,00
52;Овм;1836354,00
52;Овт;2382589,00
52;ПК0;446949,00
52;ПК1;446949,00
52;ПК2;446949,00
52;ПР0;0,00
52;ПР1;0,00
52;ОПР1;0,00
52;СПР1;0,00
52;ФР1;0,00
52;ОФР1;0,00
52;СФР1;0,00
52;ОПР0;0,00
52;ПР2;0,00
52;ОПР2;0,00
52;СПР2;0,00
52;ФР2;0,00
52;ОФР2;0,00
52;СФР2;0,00
52;СПР0;0,00
52;ФР0;0,00
52;ОФР0;0,00
52;ТР;0,00
52;ОТР;0,00
52;ДТР;0,00
52;ГВР(ТР);0,00
52;ГВР(ВР);0,00
52;ГВР(ПР);0,00
52;ГВР(ФР);0,00
52;СФР0;0,00
52;ВР;0,00
53;Ар1.0;5695156,00
53;Ар1.1;5695156,00
53;Ар1.2;5695156,00
53;Ар2.0;85243,00
53;Ар2.1;85243,00
53;Ар2.2;85243,00
53;Ар4.0;9793063,00
53;Ар4.1;9493010,00
53;Ар4.2;9493010,00
53;Ариск0;5695156,00
53;БК;139563,00
53;Кф;1,00
53;Крд;2055975,00
53;Крис;18328,00
53;Кскр;10003489,00
53;Лам;2461946,00
53;Лат;6786402,00
53;ОД;750858,00
53;Овм;3267832,00
53;Овт;6326059,00
53;ПК0;1016303,00
53;ПК1;1016303,00
53;ПК2;1016303,00
53;РР0;2083610,00
53;РР1;2083610,00
53;РР2;2083610,00
53;ПР0;161318,74
53;ПР1;161318,74
53;ОПР1;33920,65
53;СПР1;127398,09
53;ФР1;5370,04
53;ОФР1;2685,02
53;СФР1;2685,02
53;ОПР0;33920,65
53;ПР2;161318,74
53;ОПР2;33920,65
53;СПР2;127398,09
53;ФР2;5370,04
53;ОФР2;2685,02
53;СФР2;2685,02
53;СПР0;127398,09
53;ФР0;5370,04
53;ОФР0;2685,02
53;СФР0;2685,02
53;ВР;0,00
65;Ар1.0;10538353,00
65;Ар1.1;10538353,00
65;Ар1.2;10538353,00
65;Ар2.0;255821,00
65;Ар2.1;255821,00
65;Ар2.2;255821,00
65;Ар3.0;387757,00
65;Ар3.1;387757,00
65;Ар3.2;387757,00
65;Ар4.0;20038973,00
65;Ар4.1;19752104,00
65;Ар4.2;19752104,00
65;Ариск0;10538353,00
65;БК;144983,00
65;Кф;1,00
65;Крд;4186771,00
65;Крис;28375,00
65;Кскр;9312278,00
65;Лам;5159157,00
65;Лат;17696743,00
65;ОД;12604607,00
65;Овм;11420369,00
65;Овт;15999916,00
65;ПК0;1585960,00
65;ПК1;1585960,00
65;ПК2;1585960,00
65;ПР0;0,00
65;ПР1;0,00
65;ОПР1;0,00
65;СПР1;0,00
65;ФР1;0,00
65;ОФР1;0,00
65;СФР1;0,00
65;ОПР0;0,00
65;ПР2;0,00
65;ОПР2;0,00
65;СПР2;0,00
65;ФР2;0,00
65;ОФР2;0,00
65;СФР2;0,00
65;СПР0;0,00
65;ФР0;0,00
65;ОФР0;0,00
65;ТР;0,00
65;ОТР;0,00
65;ДТР;0,00
65;ГВР(ТР);0,00
65;ГВР(ВР);0,00
65;ГВР(ПР);0,00
65;ГВР(ФР);0,00
65;СФР0;0,00
65;ВР;0,00
67;Ар1.0;4463585,00
67;Ар1.1;4463585,00
67;Ар1.2;4463585,00
67;Ар2.0;210,00
67;Ар2.1;210,00
67;Ар2.2;210,00
67;Ар4.0;8581103,00
67;Ар4.1;8534562,00
67;Ар4.2;8534562,00
67;Ариск0;4463585,00
67;Кф;0,94
67;Крд;7921063,00
67;Крис;11495,00
67;Кскр;2951047,00
67;Лам;4470081,00
67;Лат;5435636,00
67;ОД;2749278,00
67;Овм;4336868,00
67;Овт;5055933,00
67;ПК0;4189308,00
67;ПК1;4189308,00
67;ПК2;4189308,00
67;РР0;380625,00
67;РР1;380625,00
67;РР2;380625,00
67;ПР0;2560,00
67;ПР1;2560,00
67;ОПР1;141,00
67;СПР1;2419,00
67;ФР1;678,00
67;ОФР1;339,00
67;СФР1;339,00
67;ОПР0;141,00
67;ПР2;2560,00
67;ОПР2;141,00
67;СПР2;2419,00
67;ФР2;678,00
67;ОФР2;339,00
67;СФР2;339,00
67;СПР0;2419,00
67;ФР0;678,00
67;ОФР0;339,00
67;ТР;0,00
67;ОТР;0,00
67;ДТР;0,00
67;ГВР(ТР);0,00
67;ГВР(ВР);0,00
67;ГВР(ПР);0,00
67;ГВР(ФР);0,00
67;СФР0;339,00
67;ВР;27212,00
77;Ар1.0;1215114,00
77;Ар1.1;1215114,00
77;Ар1.2;1215114,00
77;Ар2.0;98666,00
77;Ар2.1;98666,00
77;Ар2.2;98666,00
77;Ар3.0;124027,00
77;Ар3.1;124027,00
77;Ар3.2;124027,00
77;Ар4.0;7746028,00
77;Ар4.1;7483933,00
77;Ар4.2;7483933,00
77;Ар5.0;0,00
77;Ар5.1;0,00
77;Ар5.2;0,00
77;Ариск0;1249777,00
77;БК;186140,00
77;Кф;0,95
77;Кинс;0,00
77;Крд;1137062,00
77;КРФмп0;0,00
77;КРФрп0;0,00
77;КРФсп0;0,00
77;КРФмп1;0,00
77;КРФрп1;0,00
77;КРФсп1;0,00
77;КРФмп2;0,00
77;КРФрп2;0,00
77;КРФсп2;0,00
77;Крис;4138,00
77;Кскр;7761469,00
77;Лам;1488541,00
77;Лат;5860597,00
77;ОД;1569963,00
77;Овм;3880047,00
77;Овт;6196772,00
77;ПК0;2472885,00
77;ПК1;2472885,00
77;ПК2;2472885,00
77;РР0;216532,00
77;РР1;216532,00
77;РР2;216532,00
77;ПР0;7085,43
77;ПР1;7085,43
77;ОПР1;2853,65
77;СПР1;4231,78
77;ФР1;0,00
77;ОФР1;0,00
77;СФР1;0,00
77;ОПР0;2853,65
77;ПР2;7085,43
77;ОПР2;2853,65
77;СПР2;4231,78
77;ФР2;0,00
77;ОФР2;0,00
77;СФР2;0,00
77;СПР0;4231,78
77;ФР0;0,00
77;ОФР0;0,00
77;ТР;0,00
77;ОТР;0,00
77;ДТР;0,00
77;ГВР(ТР);0,00
77;ГВР(ВР);0,00
77;ГВР(ПР);0,00
77;ГВР(ФР);0,00
77;СФР0;0,00
77;ВР;10237,09
85;Ар1.0;389645,00
85;Ар1.2;389645,00
85;Ар2.0;3,00
85;Ар2.2;3,00
85;Ар4.0;703324,00
85;Ар4.2;694397,00
85;Ариск0;389645,00
85;БК;178,00
85;Кф;1,00
85;Лам;201356,00
85;Лат;399903,00
85;Овт;302513,00
85;ПК0;62844,00
85;ПК2;62844,00
85;РР0;16132,00
85;РР2;16132,00
85;ПР0;0,00
85;ПР1;0,00
85;ОПР1;0,00
85;СПР1;0,00
85;ФР1;0,00
85;ОФР1;0,00
85;СФР1;0,00
85;ОПР0;0,00
85;ПР2;0,00
85;ОПР2;0,00
85;СПР2;0,00
85;ФР2;0,00
85;ОФР2;0,00
85;СФР2;0,00
85;СПР0;0,00
85;ФР0;0,00
85;ОФР0;0,00
85;ТР;486,00
85;ОТР;405,00
85;ДТР;81,00
85;ГВР(ТР);0,00
85;ГВР(ВР);0,00
85;ГВР(ПР);0,00
85;ГВР(ФР);0,00
85;СФР0;0,00
85;ВР;804,54
101;Ар1.0;5648022,00
101;Ар1.1;5648022,00
101;Ар1.2;5648022,00
101;Ар2.0;175213,00
101;Ар2.1;175213,00
101;Ар2.2;175213,00
101;Ар3.0;127773,00
101;Ар3.1;127773,00
101;Ар3.2;127773,00
101;Ар4.0;9179540,00
101;Ар4.1;9179540,00
101;Ар4.2;9179540,00
101;Ар5.0;0,00
101;Ар5.1;0,00
101;Ар5.2;0,00
101;Ариск0;9291735,00
101;БК;349625,00
101;Кф;0,90
101;Кинс;8,00
