REGN;C1_2;C2_2
1;Ар1.0;162763602,00
1;Ар1.1;162763602,00
1;Ар1.2;162763602,00
1;Ар2.0;53791700,00
1;Ар2.1;53791700,00
1;Ар2.2;53791700,00
1;Ар3.0;520089,00
1;Ар3.1;520089,00
1;Ар3.2;520089,00
1;Ар4.0;791377866,00
1;Ар4.1;781175545,00
1;Ар4.2;781175545,00
1;Ар5.0;1178,00
1;Ар5.1;1178,00
1;Ар5.2;1178,00
1;Ариск0;162763602,00
1;БК;18470603,00
1;Кф;1,00
1;Кинс;7200101,00
1;Крд;441703090,00
1;КРФмп0;0,00
1;КРФрп0;0,00
1;КРФсп0;0,00
1;КРФмп1;0,00
1;КРФрп1;0,00
1;КРФсп1;0,00
1;КРФмп2;0,00
1;КРФрп2;0,00
1;КРФсп2;0,00
1;Крис;337425,00
1;Кскр;389139167,00
1;Лам;340010851,00
1;Лат;526428129,00
1;ОД;139975822,00
1;Овм;436281395,00
1;Овт;631589584,00
1;ПК0;56163239,00
1;ПК1;56163239,00
1;ПК2;56163239,00
1;РР0;76984376,00
1;РР1;76984376,00
1;РР2;76984376,00
1;ПР0;4748378,70
1;ПР1;4748378,70
1;ОПР1;4748378,70
1;СПР1;0,00
1;ФР1;0,00
1;ОФР1;0,00
1;СФР1;0,00
1;ОПР0;4748378,70
1;ПР2;4748378,70
1;ОПР2;4748378,70
1;СПР2;0,00
1;ФР2;0,00
1;ОФР2;0,00
1;СФР2;0,00
1;СПР0;0,00
1;ФР0;0,00
1;ОФР0;0,00
1;ТР;0,00
1;ОТР;0,00
1;ДТР;0,00
1;ГВР(ТР);0,00
1;ГВР(ВР);0,00
1;ГВР(ПР);0,00
1;ГВР(ФР);0,00
1;СФР0;0,00
1;ВР;1410371,34
2;Ар1.0;211149,00
2;Ар1.2;211149,00
2;Ар2.0;101,00
2;Ар2.2;101,00
2;Ар4.0;377006,00
2;Ар4.2;356770,00
2;Ариск0;211149,00
2;БК;11140,00
2;Кф;1,00
2;Лам;214987,00
2;Лат;593268,00
2;Овт;366046,00
2;ПК0;1068898,00
2;ПК2;1068898,00
2;РР0;72899,00
2;РР2;72899,00
2;ПР0;0,00
2;ПР1;0,00
2;ОПР1;0,00
2;СПР1;0,00
2;ФР1;0,00
2;ОФР1;0,00
2;СФР1;0,00
2;ОПР0;0,00
2;ПР2;0,00
2;ОПР2;0,00
2;СПР2;0,00
2;ФР2;0,00
2;ОФР2;0,00
2;СФР2;0,00
2;СПР0;0,00
2;ФР0;0,00
2;ОФР0;0,00
2;ТР;0,00
2;ОТР;0,00
2;ДТР;0,00
2;ГВР(ТР);0,00
2;ГВР(ВР);0,00
2;ГВР(ПР);0,00
2;ГВР(ФР);0,00
2;СФР0;0,00
2;ВР;5831,93
21;Ар1.0;436245,00
21;Ар1.2;436245,00
21;Ар2.0;10039,00
21;Ар2.2;10039,00
21;Ар3.0;7,00
21;Ар3.2;7,00
21;Ар4.0;771548,00
21;Ар4.2;771548,00
21;Ариск0;436245,00
21;Кф;0,97
21;Лам;400324,00
21;Лат;600328,00
21;Овт;981180,00
21;ПК0;153777,00
21;ПК2;153777,00
21;РР0;10229,00
21;РР2;10229,00
21;ПР0;0,00
21;ПР1;0,00
21;ОПР1;0,00
21;СПР1;0,00
21;ФР1;0,00
21;ОФР1;0,00
21;СФР1;0,00
21;ОПР0;0,00
21;ПР2;0,00
21;ОПР2;0,00
21;СПР2;0,00
21;ФР2;0,00
21;ОФР2;0,00
21;СФР2;0,00
21;СПР0;0,00
21;ФР0;0,00
21;ОФР0;0,00
21;ТР;0,00
21;ОТР;0,00
21;ДТР;0,00
21;ГВР(ТР);0,00
21;ГВР(ВР);0,00
21;ГВР(ПР);0,00
21;ГВР(ФР);0,00
21;СФР0;0,00
21;ВР;818,32
52;Ар1.0;1619159,00
52;Ар1.1;1619159,00
52;Ар1.2;1619159,00
52;Ар2.0;39837,00
52;Ар2.1;39837,00
52;Ар2.2;39837,00
52;Ар4.0;5073172,00
52;Ар4.1;5073043,00
52;Ар4.2;5073043,00
52;Ариск0;1619159,00
52;Кф;1,00
52;Крд;218024,00
52;Крис;1711,00
52;Кскр;2848397,00
52;Лам;1432019,00
52;Лат;3012998,00
52;ОД;250035,00
52;Овм;2205265,00
52;Овт;2706300,00
52;ПК0;196647,00
52;ПК1;196647,00
52;ПК2;196647,00
52;ПР0;0,00
52;ПР1;0,00
52;ОПР1;0,00
52;СПР1;0,00
52;ФР1;0,00
52;ОФР1;0,00
52;СФР1;0,00
52;ОПР0;0,00
52;ПР2;0,00
52;ОПР2;0,00
52;СПР2;0,00
52;ФР2;0,00
52;ОФР2;0,00
52;СФР2;0,00
52;СПР0;0,00
52;ФР0;0,00
52;ОФР0;0,00
52;ТР;0,00
52;ОТР;0,00
52;ДТР;0,00
52;ГВР(ТР);0,00
52;ГВР(ВР);0,00
52;ГВР(ПР);0,00
52;ГВР(ФР);0,00
52;СФР0;0,00
52;ВР;0,00
53;Ар1.0;5124545,00
53;Ар1.1;5124545,00
53;Ар1.2;5124545,00
53;Ар2.0;26026,00
53;Ар2.1;26026,00
53;Ар2.2;26026,00
53;Ар4.0;10180744,00
53;Ар4.1;9680396,00
53;Ар4.2;9680396,00
53;Ариск0;5124545,00
53;БК;180188,00
53;Кф;0,99
53;Крд;1985927,00
53;Крис;16733,00
53;Кскр;8771959,00
53;Лам;2578517,00
53;Лат;5092864,00
53;ОД;1571224,00
53;Овм;4295626,00
53;Овт;4681329,00
53;ПК0;1399728,00
53;ПК1;1399728,00
53;ПК2;1399728,00
53;РР0;2244952,00
53;РР1;2244952,00
53;РР2;2244952,00
53;ПР0;153995,51
53;ПР1;153995,51
53;ОПР1;58453,01
53;СПР1;95542,50
53;ФР1;21170,78
53;ОФР1;10585,39
53;СФР1;10585,39
53;ОПР0;58453,01
53;ПР2;153995,51
53;ОПР2;58453,01
53;СПР2;95542,50
53;ФР2;21170,78
53;ОФР2;10585,39
53;СФР2;10585,39
53;СПР0;95542,50
53;ФР0;21170,78
53;ОФР0;10585,39
53;СФР0;10585,39
53;ВР;4429,88
65;Ар1.0;7346407,00
65;Ар1.1;7346407,00
65;Ар1.2;7346407,00
65;Ар2.0;116362,00
65;Ар2.1;116362,00
65;Ар2.2;116362,00
65;Ар3.0;17246,00
65;Ар3.1;17246,00
65;Ар3.2;17246,00
65;Ар4.0;16184743,00
65;Ар4.1;15743991,00
65;Ар4.2;15743991,00
65;Ар5.0;0,00
65;Ар5.1;0,00
65;Ар5.2;0,00
65;Ариск0;7346407,00
65;БК;45920,00
65;Кф;1,00
65;Кинс;0,00
65;Крд;3583959,00
65;Крис;22042,00
65;Кскр;5068840,00
65;Лам;4564254,00
65;Лат;15223062,00
65;ОД;10638019,00
65;Овм;10354629,00
65;Овт;13072495,00
65;ПК0;2090465,00
65;ПК1;2090465,00
65;ПК2;2090465,00
65;РР0;459869,00
65;РР1;459869,00
65;РР2;459869,00
65;ПР0;36789,53
65;ПР1;36789,53
65;ОПР1;1443,52
65;СПР1;35346,01
65;ФР1;0,00
65;ОФР1;0,00
65;СФР1;0,00
65;ОПР0;1443,52
65;ПР2;36789,53
65;ОПР2;1443,52
65;СПР2;35346,01
65;ФР2;0,00
65;ОФР2;0,00
65;СФР2;0,00
65;СПР0;35346,01
65;ФР0;0,00
65;ОФР0;0,00
65;ТР;0,00
65;ОТР;0,00
65;ДТР;0,00
65;ГВР(ТР);0,00
65;ГВР(ВР);0,00
65;ГВР(ПР);0,00
65;ГВР(ФР);0,00
65;СФР0;0,00
65;ВР;0,00
67;Ар1.0;4338157,00
67;Ар1.1;4338157,00
67;Ар1.2;4338157,00
67;Ар2.0;79,00
67;Ар2.1;79,00
67;Ар2.2;79,00
67;Ар4.0;9202729,00
67;Ар4.1;9156188,00
67;Ар4.2;9156188,00
67;Ариск0;4338157,00
67;Кф;0,91
67;Крд;6589607,00
67;Крис;26739,00
67;Кскр;1787818,00
67;Лам;4036740,00
67;Лат;5855218,00
67;ОД;2438708,00
67;Овм;4110938,00
67;Овт;4852057,00
67;ПК0;3140845,00
67;ПК1;3140845,00
67;ПК2;3140845,00
67;РР0;81725,00
67;РР1;81725,00
67;РР2;81725,00
67;ПР0;2624,00
67;ПР1;2624,00
67;ОПР1;145,00
67;СПР1;2479,00
67;ФР1;3914,00
67;ОФР1;1957,00
67;СФР1;1957,00
67;ОПР0;145,00
67;ПР2;2624,00
67;ОПР2;145,00
67;СПР2;2479,00
67;ФР2;3914,00
67;ОФР2;1957,00
67;СФР2;1957,00
67;СПР0;2479,00
67;ФР0;3914,00
67;ОФР0;1957,00
67;ТР;0,00
67;ОТР;0,00
67;ДТР;0,00
67;ГВР(ТР);0,00
67;ГВР(ВР);0,00
67;ГВР(ПР);0,00
67;ГВР(ФР);0,00
67;СФР0;1957,00
67;ВР;0,00
77;Ар1.0;1248950,00
77;Ар1.1;1248950,00
77;Ар1.2;1248950,00
77;Ар2.0;41034,00
77;Ар2.1;41034,00
77;Ар2.2;41034,00
77;Ар3.0;2618,00
77;Ар3.1;2618,00
77;Ар3.2;2618,00
77;Ар4.0;8635417,00
77;Ар4.1;8373322,00
77;Ар4.2;8373322,00
77;Ар5.0;0,00
77;Ар5.1;0,00
77;Ар5.2;0,00
77;Ариск0;3387866,00
77;БК;353828,00
77;Кф;0,97
77;Кинс;0,00
77;Крд;1306388,00
77;КРФмп0;0,00
77;КРФрп0;0,00
77;КРФсп0;0,00
