,Ар1.0,Ар1.1,Ар1.2,Ар2.0,Ар2.1,Ар2.2,Ар3.0,Ар3.1,Ар3.2,Ар4.0,Ар4.1,Ар4.2,Ар5.0,Ар5.1,Ар5.2,Ариск0,БК,Кф,Кинс,Крд,КРФмп0,КРФрп0,КРФсп0,КРФмп1,КРФрп1,КРФсп1,КРФмп2,КРФрп2,КРФсп2,Крис,Кскр,Лам,Лат,ОД,Овм,Овт,ПК0,ПК1,ПК2,РР0,РР1,РР2,ПР0,ПР1,ОПР1,СПР1,ФР1,ОФР1,СФР1,ОПР0,ПР2,ОПР2,СПР2,ФР2,ОФР2,СФР2,СПР0,ФР0,ОФР0,ТР,ОТР,ДТР,ГВР(ТР),ГВР(ВР),ГВР(ПР),ГВР(ФР),СФР0,ВР,Ф,Кбр,Кр,Кз,Лат1,О,ВО,Лат1.1
1,140051877.0,140051877.0,140051877.0,45788126.0,45788126.0,45788126.0,7801174.0,7801174.0,7801174.0,757255336.0,747053015.0,747053015.0,30426.0,30426.0,30426.0,140051877.0,19942470.0,1.0,7200101.0,451429607.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,315560.0,355913003.0,311129473.0,507008084.0,133772872.0,394987397.0,626386597.0,50552799.0,50552799.0,50552799.0,66421466.0,66421466.0,66421466.0,4011044.32,4011044.32,4011044.32,0.0,0.0,0.0,0.0,4011044.32,4011044.32,4011044.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1302672.93,,,,,,,,
1000,1348395859.0,1348395859.0,1348395859.0,87157268.0,87157268.0,87157268.0,16300649.0,16300649.0,16300649.0,8726107877.0,8759520188.0,8749820188.0,4194800.0,4194800.0,4194800.0,1635372573.0,489091883.0,1.0,254505338.0,7214039292.0,0.0,0.0,63319276.0,0.0,0.0,63319276.0,0.0,0.0,63319276.0,4817222.0,3825841592.0,1095478577.0,2105317114.0,1124693305.0,3206768685.0,4932608654.0,1799230017.0,1799264619.0,1799230017.0,679526275.0,679526275.0,679526275.0,30643940.33,30643940.33,19972989.58,10670950.75,4375931.38,2187465.2,2188274.25,19972989.58,30643940.33,19972989.58,10670950.75,4375931.38,2187465.2,2188274.25,10670950.75,4375931.38,2187465.2,10652029.57,4826568.7,5825460.87,0.0,57725.34,0.0,191.93,2188274.25,8690200.7,,,,,,,,
101,5259013.0,5259013.0,5259013.0,80676.0,80676.0,80676.0,0.0,0.0,0.0,5512226.0,5512226.0,5512226.0,0.0,0.0,0.0,10328038.0,323053.0,0.82,0.0,2096099.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52943.0,11682014.0,58486656.0,62104183.0,1220521.0,39769552.0,41548715.0,1756699.0,1756699.0,1756699.0,4091250.0,4091250.0,4091250.0,326036.0,326036.0,36341.0,289695.0,1264.0,632.0,632.0,36341.0,326036.0,36341.0,289695.0,1264.0,632.0,632.0,289695.0,1264.0,632.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,632.0,0.0,,,,,,,,
1016,330031.0,,330031.0,2925.0,,2925.0,6439.0,,6439.0,223958.0,,215510.0,,,,330031.0,,1.0,,,,,,,,,,,,,,342311.0,440625.0,,,118673.0,164127.0,,164127.0,205839.0,,205839.0,9862.89,9862.89,2945.27,6917.62,4285.44,2142.72,2142.72,2945.27,9862.89,2945.27,6917.62,4285.44,2142.72,2142.72,6917.62,4285.44,2142.72,,,,,,,,2142.72,2318.79,,,,,,,,
1027,533147.0,533147.0,533147.0,28674.0,28674.0,28674.0,,,,661386.0,437364.0,437364.0,,,,1200394.0,,1.02,,297627.0,,,,,,,,,,17721.0,19454.0,913360.0,926645.0,,591028.0,732954.0,139274.0,139274.0,139274.0,72925.0,72925.0,72925.0,4916.0,4916.0,4916.0,0.0,918.0,459.0,459.0,4916.0,4916.0,4916.0,0.0,918.0,459.0,459.0,0.0,918.0,459.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,459.0,0.0,,,,,,,,
1046,219022.0,,219022.0,10605.0,,10605.0,,,,140483.0,,140218.0,,,,219022.0,,1.0,,,,,,,,,,,,,,,278056.0,,,175986.0,132460.0,,132460.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
1049,1447303.0,1447303.0,1447303.0,253105.0,253105.0,253105.0,1598.0,1598.0,1598.0,4640464.0,4531132.0,4531132.0,,,,1447303.0,39373.0,0.99,,2686556.0,,,,,,,,,,27243.0,1436846.0,1326879.0,2403788.0,2137610.0,2354117.0,2642150.0,270922.0,270922.0,270922.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.26,0.05,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
1050,373868.0,,373868.0,,,,,,,1317333.0,,1302775.0,,,,373868.0,,1.0,,,,,,,,,,,,,,371453.0,393205.0,,,542521.0,392480.0,,392480.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
1052,609159.0,,609159.0,3014.0,,3014.0,0.0,,0.0,671923.0,,671923.0,0.0,,0.0,609159.0,0.0,1.0,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,829253.0,859935.0,,,944291.0,76975.0,,76975.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
106,387350.0,,387350.0,202782.0,,202782.0,0.0,,0.0,373760.0,,352594.0,0.0,,0.0,387350.0,3770.0,1.01,,,,,,,,,,,,,,771898.0,1288974.0,,,1084426.0,33197.0,,33197.0,18813.0,,18813.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,1505.0,,,,,,,,
1067,1710031.0,1710031.0,1710031.0,55052.0,55052.0,55052.0,8397.0,8397.0,8397.0,9299272.0,9288920.0,9288920.0,,,,1710031.0,,0.98,,3901616.0,,,,,,,,,,5087.0,12095895.0,1920700.0,2174495.0,176775.0,2765013.0,3687792.0,761197.0,761197.0,761197.0,47260.0,47260.0,47260.0,,,,,,,,,,,,,,,,,,3780.8,5.8,3775.0,,,,,,,,,,,,,,
1068,1527170.0,,1527170.0,42792.0,,42792.0,,,,314174.0,,314174.0,,,,1527170.0,8968.0,1.0,,,,,,,,,,,,,,951177.0,1758223.0,,,475871.0,131483.0,,131483.0,13969.0,,13969.0,0.0,0.0,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1117.52,,,,,,,,
