,Ар1.0,Ар1.1,Ар1.2,Ар2.0,Ар2.1,Ар2.2,Ар3.0,Ар3.1,Ар3.2,Ар4.0,Ар4.1,Ар4.2,Ар5.0,Ар5.1,Ар5.2,Ариск0,БК,Метод,Кф,Кинс,Крд,КРФмп0,КРФрп0,КРФсп0,КРФмп1,КРФрп1,КРФсп1,КРФмп2,КРФрп2,КРФсп2,Кскр,Лам,Лат,ОД,Овм,Овт,ПК0,ПК1,ПК2,РР0,РР1,РР2,ПР0,ПР1,ОПР1,СПР1,ФР1,ОФР1,СФР1,ОПР0,ПР2,ОПР2,СПР2,ФР2,ОФР2,СФР2,СПР0,ФР0,ОФР0,ТР,ОТР,ДТР,ГВР(ТР),ГВР(ВР),ГВР(ПР),ГВР(ФР),СФР0,ВР,АРБ0,АРС0,АРЦК0,АРпр0,АРБ1,АРС1,АРЦК1,АРпр1,АРБ2,АРС2,АРЦК2,АРпр2,АРФЛ,АРкорп,АРМБР,АРМСП,БК2.0,БК2.1,БК2.2,ПК2.0,ПК2.1,ПК2.2,Ф,Кбр,Кр,Кз,Лат1,О,ВО,Лат1.1
1,185587664.0,185587664.0,185587664.0,33183446.0,33183446.0,33183446.0,92648.0,92648.0,92648.0,757958021.0,750893076.0,750893076.0,846.0,846.0,846.0,185587664.0,21727630.0,1.0,1.0,7200101.0,447618259.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,283122973.0,307073686.0,509164432.0,114386927.0,428150679.0,624043634.0,32335088.0,32335088.0,32335088.0,78272913.0,78272913.0,78272913.0,5527865.67,5527865.67,5527865.67,0.0,0.0,0.0,0.0,5527865.67,5527865.67,5527865.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,733967.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000,,,,,,,,,,,,,,,,1493767177.0,,2.0,1.0,240650174.0,6195326450.0,0.0,0.0,12441789.0,0.0,0.0,12441789.0,0.0,0.0,12441789.0,3461023426.0,1290031072.0,2127266724.0,1262959502.0,3476575090.0,5156135633.0,,,,825066285.0,825066285.0,825066285.0,43672341.45,43672341.45,29190124.76,14482216.69,6004183.52,2994304.8,3009838.56,29190124.76,43672341.45,29190124.76,14482216.69,6004183.52,2994304.8,3009838.56,14482216.69,6004183.52,2994304.8,6762295.07,3008134.3,3751507.04,2653.73,86019.52,0.0,40.16,3009838.56,9566482.75,106778508.0,56893872.0,2403724.0,1141084940.0,106778508.0,56893872.0,2403724.0,1164766749.0,106778508.0,56893872.0,2403724.0,1155044535.0,2623388443.0,4992364533.0,0.0,59733803.0,843157035.0,843158315.0,843157327.0,634325084.0,634325084.0,634358407.0,,,,,,,,
101,8774660.0,8774660.0,8774660.0,241575.0,241575.0,241575.0,0.0,0.0,0.0,8719197.0,8719197.0,8719197.0,0.0,0.0,0.0,10945443.0,349625.0,1.0,1.02,8.0,2851996.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19740248.0,27989446.0,54614404.0,1225623.0,38552601.0,43667599.0,2335563.0,2335563.0,2335563.0,5894813.0,5894813.0,5894813.0,470235.0,470235.0,74413.0,395822.0,1350.0,675.0,675.0,74413.0,470235.0,74413.0,395822.0,1350.0,675.0,675.0,395822.0,1350.0,675.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,675.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1016,264663.0,,264663.0,3085.0,,3085.0,6987.0,,6987.0,218424.0,,210014.0,,,,264663.0,,1.0,1.0,,,,,,,,,,,,,68095.0,373464.0,,,91082.0,222504.0,,222504.0,195227.0,,195227.0,9671.19,9671.19,2702.82,6968.37,3656.48,1828.24,1828.24,2702.82,9671.19,2702.82,6968.37,3656.48,1828.24,1828.24,6968.37,3656.48,1828.24,,,,,,,,1828.24,2290.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1027,894170.0,894170.0,894170.0,65187.0,65187.0,65187.0,,,,668673.0,446381.0,446381.0,,,,1061001.0,,1.0,1.02,,294724.0,,,,,,,,,,55250.0,416116.0,1106171.0,,693809.0,804323.0,165154.0,165154.0,165154.0,37538.0,37538.0,37538.0,2085.0,2085.0,2085.0,0.0,918.0,459.0,459.0,2085.0,2085.0,2085.0,0.0,918.0,459.0,459.0,0.0,918.0,459.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,459.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1046,192412.0,,192412.0,6003.0,,6003.0,,,,244793.0,,244518.0,,,,192412.0,,1.0,1.0,,,,,,,,,,,,,,227163.0,,,170039.0,161441.0,,161441.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1049,1924893.0,1924893.0,1924893.0,185737.0,185737.0,185737.0,1617.0,1617.0,1617.0,4788524.0,4679794.0,4679794.0,,,,1924893.0,51778.0,1.0,0.99,,2937785.0,,,,,,,,,,1382443.0,1314802.0,2789038.0,2418835.0,2394938.0,2823832.0,264080.0,264080.0,264080.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1052,644047.0,,644047.0,2750.0,,2750.0,0.0,,0.0,590571.0,,590571.0,0.0,,0.0,644047.0,0.0,1.0,0.99,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,478963.0,860572.0,,,851742.0,148533.0,,148533.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,525130.0,,525130.0,169758.0,,169758.0,0.0,,0.0,707859.0,,686693.0,0.0,,0.0,525130.0,0.0,1.0,1.01,,,,,,,,,,,,,972753.0,1239591.0,,,1239836.0,827.0,,827.0,18000.0,,18000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,1440.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1067,,,,,,,,,,,,,,,,2045667.0,,2.0,0.97,24480.0,3986026.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7373958.0,1998982.0,3028178.0,131028.0,2874116.0,3650140.0,,,,391993.0,391993.0,391993.0,28704.19,28704.19,13629.05,15075.14,0.0,0.0,0.0,13629.05,28704.19,13629.05,15075.14,0.0,0.0,0.0,15075.14,0.0,0.0,2655.23,0.92,2654.31,0.0,0.0,0.0,0.0,0.0,0.0,15208.0,0.0,54154.0,542375.0,15208.0,0.0,54154.0,532023.0,15208.0,0.0,54154.0,532023.0,3675956.0,4496384.0,0.0,0.0,61200.0,61200.0,61200.0,661244.0,661244.0,661244.0,,,,,,,,
