,Ариск0,АРБ0,АРС0,АРЦК0,АРпр0,АРБ1,АРС1,АРЦК1,АРпр1,АРБ2,АРС2,АРЦК2,АРпр2,АРФЛ,АРкорп,АРМБР,АРМСП,БК2.0,БК2.1,БК2.2,Метод,ПК2.0,ПК2.1,ПК2.2,Кф,Кинс,Крд,КРФмп0,КРФрп0,КРФсп0,КРФмп1,КРФрп1,КРФсп1,КРФмп2,КРФрп2,КРФсп2,Кскр,Лам,Лат,ОД,Овм,Овт,РР0,РР1,РР2,ПР0,ПР1,ОПР1,СПР1,ФР1,ОФР1,СФР1,ОПР0,ПР2,ОПР2,СПР2,ФР2,ОФР2,СФР2,СПР0,ФР0,ОФР0,ТР,ОТР,ДТР,ГВР(ТР),ГВР(ВР),ГВР(ПР),ГВР(ФР),СФР0,ВР,Ар1.0,Ар1.2,Ар2.0,Ар2.2,Ар4.0,Ар4.2,БК,ПК0,ПК2,Ар1.1,Ар2.1,Ар4.1,ПК1,Ар3.0,Ар3.1,Ар3.2,Ар5.0,Ар5.2,Ар5.1,Ф,Кбр,Кр,Кз,Лат1,О,ВО,Лат1.1
1,103782582.0,59294891.0,1568747.0,1024400.0,33114923.0,59294891.0,1568747.0,1024400.0,22413368.0,59294891.0,1568747.0,1024400.0,22413368.0,162908578.0,479495922.0,248329.0,0.0,21482496.0,21482496.0,21482496.0,2.0,9804719.0,9804719.0,9804719.0,1.0,7200101.0,448303588.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,239026598.0,443498752.0,778260196.0,87820176.0,398554091.0,748854348.0,86620618.0,86620618.0,86620618.0,5893186.08,5893186.08,5893186.08,0.0,0.0,0.0,0.0,5893186.08,5893186.08,5893186.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1036463.36,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000,0.0,135672544.0,59729542.0,4311307.0,1018565579.0,135672544.0,59729542.0,4311307.0,1048111481.0,135672544.0,59729542.0,4311307.0,1036689266.0,2754152262.0,5129305322.0,183.0,59956594.0,857260998.0,857262277.0,857261289.0,2.0,588171439.0,588171437.0,588204761.0,1.0,266630774.0,7170038329.0,0.0,0.0,28610746.0,0.0,0.0,28610746.0,0.0,0.0,28610746.0,3557535932.0,1425232462.0,2419678499.0,1161832166.0,4704044603.0,7045706158.0,861453598.0,861453598.0,861453598.0,49256562.14,49256562.14,31380641.61,17875920.53,2003847.21,984935.03,1018912.18,31380641.61,49256562.14,31380641.61,17875920.53,2003847.21,984935.03,1018912.18,17875920.53,2003847.21,984935.03,7714094.82,440338.27,7272224.23,1532.32,154540.35,0.0,0.0,1018912.18,9941783.63,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,9366828.0,2248960.0,0.0,837203.0,937014.0,2248960.0,0.0,837203.0,937014.0,2248960.0,0.0,837203.0,937014.0,219824.0,6863441.0,0.0,0.0,547.0,547.0,547.0,2.0,1526672.0,1526672.0,1526672.0,1.1,8.0,2865533.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17591900.0,40050189.0,54190266.0,891807.0,43968955.0,46169118.0,12153563.0,12153563.0,12153563.0,971045.0,971045.0,185157.0,785888.0,1240.0,620.0,620.0,185157.0,971045.0,185157.0,785888.0,1240.0,620.0,620.0,785888.0,1240.0,620.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,620.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1016,315866.0,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,45971.0,424494.0,,,119877.0,178423.0,,178423.0,9496.66,,,,,,,2448.89,9496.66,2448.89,7047.77,2978.88,1489.44,1489.44,7047.77,2978.88,1489.44,,,,,,,,1489.44,1798.29,315866.0,315866.0,3120.0,3120.0,224246.0,215836.0,,174861.0,174861.0,,,,,7827.0,,7827.0,,,,,,,,,,,
1027,436908.0,,,,,,,,,,,,,,,,,,,,1.0,,,,1.02,,303170.0,,,,,,,,,,172831.0,558992.0,873533.0,,647220.0,731562.0,35950.0,35950.0,35950.0,2086.0,2086.0,2086.0,0.0,790.0,395.0,395.0,2086.0,2086.0,2086.0,0.0,790.0,395.0,395.0,0.0,790.0,395.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,395.0,0.0,269998.0,269998.0,136975.0,136975.0,803866.0,577628.0,,166696.0,166696.0,269998.0,136975.0,577628.0,166696.0,,,,,,,,,,,,,,
1046,238707.0,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,289032.0,,,195135.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,238707.0,238707.0,8003.0,8003.0,238083.0,237808.0,,150956.0,150956.0,,,,,,,,,,,,,,,,,,
1049,2544861.0,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,2733493.0,,,,,,,,,,1383020.0,1617425.0,3481626.0,1835564.0,3082656.0,3203418.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2549861.0,2549861.0,211982.0,211982.0,4627333.0,4468836.0,28715.0,184946.0,184946.0,2549861.0,211982.0,4468836.0,184946.0,,,,,,,,,,,,,,
1052,784258.0,,,,,,,,,,,,,,,,,,,,1.0,,,,0.97,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,459033.0,957262.0,,,934699.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,784258.0,784258.0,2423.0,2423.0,549726.0,549726.0,4110.0,158948.0,158948.0,,,,,0.0,,0.0,0.0,0.0,,,,,,,,,
106,414908.0,,,,,,,,,,,,,,,,,,,,1.0,,,,0.98,,,,,,,,,,,,,314533.0,1078278.0,,,1021973.0,48250.0,,48250.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,3860.0,414908.0,414908.0,177841.0,177841.0,507275.0,474513.0,,11618.0,11618.0,,,,,0.0,,0.0,0.0,0.0,,,,,,,,,
1067,1187536.0,64309.0,0.0,37296.0,1244883.0,64309.0,0.0,37296.0,1234526.0,64309.0,0.0,37296.0,1234526.0,3641178.0,7630468.0,0.0,0.0,71868.0,71868.0,71868.0,2.0,776174.0,776174.0,776174.0,0.93,24480.0,5124576.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8053776.0,2794645.0,3972255.0,408969.0,3457841.0,5741943.0,848527.0,848527.0,848527.0,63271.58,63271.58,21960.27,41311.31,0.0,0.0,0.0,21960.27,63271.58,21960.27,41311.31,0.0,0.0,0.0,41311.31,0.0,0.0,4610.61,1.73,4608.88,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
