date,rate,eur_rub,jpy_rub,idl_vol,bas_dep,req_res,act_bal,org_num,rep_vol,sal_vol,res_gol,kop_dep,res_res
2013-12-20,5.5,45.0628,31.7234,355.7,34523683.0,402.3,1242.059677419355,926.0,2719845.0,-581.8,40640.0,104748.56,515590.0
2013-12-25,5.5,44.652,31.3193,206.08,34523683.0,402.3,1242.059677419355,926.0,2719845.0,-1416.8,40640.0,97507.4,515590.0
2014-01-10,5.5,45.0672,31.605999999999998,196.31,35277417.0,404.8,1067.0774193548386,919.0,3139666.0,-793.0,39990.0,249552.32,509595.0
2014-01-15,5.5,45.4139,32.141,207.05,35277417.0,404.8,1067.0774193548386,919.0,3139666.0,-89.1,39990.0,136797.77,509595.0
2014-01-28,5.5,47.4962,33.8248,175.63,35277417.0,404.8,1067.0774193548386,919.0,3139666.0,-287.6,39990.0,114920.59,509595.0
2014-02-05,5.5,47.9535,35.1044,456.66,35752062.0,412.3,1027.355357142857,914.0,2922692.0,-401.8,41715.0,62602.95,498926.0
2014-02-20,5.5,48.973,34.8163,172.4,35752062.0,412.3,1027.355357142857,914.0,2922692.0,-12.1,41715.0,71068.19,498926.0
2014-02-25,5.5,48.7959,34.7298,243.65,35752062.0,412.3,1027.355357142857,914.0,2922692.0,-50.5,41715.0,66443.64,498926.0
2014-02-28,5.5,49.3454,35.2155,209.53,35752062.0,412.3,1027.355357142857,914.0,2922692.0,-50.4,41715.0,77589.55,498926.0
2014-03-05,7.0,49.952,35.6383,260.77,36629577.0,439.9,1050.0274193548385,904.0,2452200.0,-266.4,44588.0,72984.22,493326.0
2014-03-20,7.0,50.4146,35.6596,175.16,36629577.0,439.9,1050.0274193548385,904.0,2452200.0,-291.2,44588.0,74042.0,493326.0
2014-03-25,7.0,49.9167,35.2962,201.13,36629577.0,439.9,1050.0274193548385,904.0,2452200.0,-478.7,44588.0,74372.97,493326.0
2014-03-28,7.0,49.0484,34.8372,186.86,36629577.0,439.9,1050.0274193548385,904.0,2452200.0,-578.0,44588.0,73686.22,493326.0
2014-04-01,7.0,48.968,34.5766,154.98,36341531.0,430.1,1060.5583333333334,898.0,3164024.0,-627.7,43355.0,118676.63,486131.0
2014-04-10,7.0,49.2911,35.0346,197.49,36341531.0,430.1,1060.5583333333334,898.0,3164024.0,366.8,43355.0,422168.64,486131.0
2014-04-15,7.0,49.8232,35.4048,174.3,36341531.0,430.1,1060.5583333333334,898.0,3164024.0,-5.1,43355.0,76555.17,486131.0
2014-04-25,7.0,49.3175,34.8756,273.16,36341531.0,430.1,1060.5583333333334,898.0,3164024.0,-116.0,43355.0,67642.2,486131.0
2014-05-15,7.5,47.6173,33.9801,183.43,36604100.0,430.3,1060.4935483870966,890.0,3371422.0,-55.2,44303.0,64863.78,472278.0
2014-05-20,7.5,47.6416,34.2581,205.22,36604100.0,430.3,1060.4935483870966,890.0,3371422.0,-180.2,44303.0,62853.82,472278.0
2014-05-28,7.5,46.7712,33.6415,366.85,36604100.0,430.3,1060.4935483870966,890.0,3371422.0,-234.0,44303.0,74330.66,472278.0
2014-06-05,7.5,47.8253,34.2143,268.44,36846341.0,427.8,1078.405,886.0,2961339.0,37.5,43459.0,70404.57,467227.0
2014-06-10,7.5,46.8746,33.524,197.8,36846341.0,427.8,1078.405,886.0,2961339.0,-266.8,43459.0,76135.25,467227.0
2014-06-20,7.5,46.696000000000005,33.6943,186.95,36846341.0,427.8,1078.405,886.0,2961339.0,6.3,43459.0,68066.64,467227.0
2014-06-25,7.5,46.2212,33.3133,313.9,36846341.0,427.8,1078.405,886.0,2961339.0,82.6,43459.0,132484.5,467227.0
2014-07-01,7.5,46.1827,33.3679,153.71,36571825.0,428.6,1043.0354838709675,880.0,2737368.0,-154.8,46292.0,88965.68,478250.0
2014-07-10,7.5,46.4146,33.521,327.87,36571825.0,428.6,1043.0354838709675,880.0,2737368.0,247.2,46292.0,285541.78,478250.0
2014-07-15,7.5,46.6835,33.8097,212.68,36571825.0,428.6,1043.0354838709675,880.0,2737368.0,-6.5,46292.0,76972.54,478250.0
2014-07-25,7.5,47.1702,34.5755,185.29,36571825.0,428.6,1043.0354838709675,880.0,2737368.0,-17.1,46292.0,80633.2,478250.0
2014-08-01,8.0,47.4699,34.4583,142.55,36930354.0,446.6,1003.5967741935484,870.0,2831442.0,48.9,46109.0,107808.31,468762.0
